fecha_hora,real,pred_A,pred_B,pred_C,pred_D,pred_E,pred_F,pred_G,pred_H
2026-05-17 00:00:00,759.4927,726.151783292391,718.9918567160294,736.3433395372928,728.5074372023777,722.4840937121658,722.6324096211545,703.7556514793389,742.1706751122961
2026-05-17 01:00:00,759.4927,736.832674829422,728.187850910147,741.3202068163846,737.3676826547675,730.2256435665084,732.6065050079793,716.721732784458,743.0309427296532
2026-05-17 02:00:00,759.4927,745.5922456236997,737.6698920187723,750.3657580421791,751.8062668571366,744.8654510794082,742.6807047750779,727.2575021551379,745.7850195303873
2026-05-17 03:00:00,759.4927,724.6993531702149,712.1847326048528,732.122951837117,726.8978180096108,719.9558808673648,721.1887750922422,699.6356292752704,734.4094213077631
2026-05-17 04:00:00,759.4927,711.8328403540493,706.3640356802781,720.3179267686901,720.6945985044337,714.9171824144664,709.814700707604,694.0430732794273,716.3654648973073
2026-05-17 05:00:00,759.4927,651.5222889924563,647.7052050067703,665.0700781344334,664.9909058138294,661.6472795560405,651.7095472375801,634.6976019841771,659.687865675443
2026-05-17 06:00:00,759.4927,574.8951240570219,573.7357475254166,595.6204678228858,587.9106696060524,587.1722528228664,575.8452787101587,556.7246572731343,596.8107328881215
2026-05-17 07:00:00,413.8287,489.78482614065774,499.89982607903363,517.005461691054,494.05894996929624,496.9486102734582,489.0575583722459,477.04572728938285,530.9734055705302
2026-05-17 08:00:00,408.8287,466.79157669962916,478.79768374174006,495.17677303127687,472.54956494341803,476.3028556000829,466.8026439642257,455.9510879005578,508.6272332899326
2026-05-17 09:00:00,408.8287,457.50134595428494,470.51722380876447,483.7764959719828,463.1936170314789,467.2329709372937,457.704003786134,449.76554664950686,494.8121779026236
2026-05-17 10:00:00,408.8287,476.1350206392416,483.91141873333834,496.66626019103364,483.4675365192484,486.13484164911716,476.84579636098573,468.21042675227574,502.4488609268811
2026-05-17 11:00:00,408.8287,465.68301940501874,477.1518684690624,490.932429262446,470.73721912213307,474.60848237125754,465.8608403193429,457.30956903627356,501.80414433776355
2026-05-17 12:00:00,413.8287,482.7816851296625,493.1635029858103,504.26702122656343,486.1732312608643,489.2772310352532,482.5936735380766,475.86600913875407,512.9916553371183
