fecha_hora,real,Persistencia,ARX_rec,XGB_rec,NBEATSx_rec,NHITS_rec
2026-01-05 18:00:00,353.94594,347.07752,349.2974174734819,362.1109,368.9004,349.09027
2026-01-05 19:00:00,353.94594,347.07752,349.5661393544236,362.1109,368.36737,357.6776
2026-01-05 20:00:00,353.94594,347.07752,349.8683947418373,359.33926,366.86053,353.87073
2026-01-05 21:00:00,338.94594,343.47952,346.61777208234315,356.92368,365.6101,343.2187
2026-01-05 22:00:00,338.94594,342.47952,345.9140064832939,352.79166,357.81006,333.861
2026-01-05 23:00:00,338.94594,334.47952,338.2242410484116,335.59885,347.61426,324.63593
2026-01-06 00:00:00,301.18493,293.94594,298.1655649690691,287.81357,331.3252,320.3923
2026-01-06 01:00:00,301.18493,293.94594,298.2042580939403,277.3598,298.49792,299.96875
2026-01-06 02:00:00,301.18493,269.57794,273.8716113542304,258.5041,298.0143,294.16425
2026-01-06 03:00:00,301.18493,262.43094,266.6027595755722,257.99417,295.7391,291.201
2026-01-06 04:00:00,301.18493,269.57794,273.49121660018596,258.76248,297.8959,290.61508
2026-01-06 05:00:00,312.18493,293.94594,297.3849472098622,279.10364,298.43665,294.06027
2026-01-06 06:00:00,312.18493,334.16294,336.78668209063466,310.92908,299.79202,299.4267
2026-01-06 07:00:00,312.18493,334.16294,336.2851815162663,305.70322,303.0176,304.14935
2026-01-06 08:00:00,312.18493,334.16294,335.7520787086008,308.2433,307.15247,309.727
2026-01-06 09:00:00,312.18493,334.16294,335.2126816778312,311.0832,315.3553,315.3291
2026-01-06 10:00:00,312.18493,334.16294,334.6926254803844,311.48334,317.7747,322.16138
2026-01-06 11:00:00,312.18493,334.16294,334.2161311387126,315.09238,323.58395,328.61792
2026-01-06 12:00:00,312.18493,334.16294,333.8043831627436,316.3223,326.5945,331.07935
2026-01-06 13:00:00,312.18493,338.94594,338.15411992374686,329.01645,330.0639,334.33572
2026-01-06 14:00:00,312.18493,338.94594,337.9132425252091,337.99576,333.9552,337.92242
2026-01-06 15:00:00,312.18493,338.94594,337.77140739840235,338.60925,340.20987,340.49612
2026-01-06 16:00:00,339.18493,338.94594,337.7269825754248,337.79535,342.1719,338.83023
2026-01-06 17:00:00,339.18493,338.94594,337.77178584748987,338.07748,341.7505,336.65387
2026-01-06 18:00:00,349.60093,353.94594,352.54897123037006,339.95578,343.71426,339.35703
2026-01-06 19:00:00,349.60093,353.94594,352.7321843154522,339.95578,348.50793,346.18207
2026-01-06 20:00:00,339.18493,353.94594,352.9494952768789,337.32257,346.8227,346.85898
2026-01-06 21:00:00,339.18493,338.94594,338.49110816620635,334.34357,340.1573,337.31427
2026-01-06 22:00:00,322.18493,338.94594,338.6881632465355,330.06787,325.15466,327.07202
2026-01-06 23:00:00,312.18493,338.94594,338.8419807008989,323.754,312.73224,315.1869
2026-01-07 00:00:00,252.71747,301.18493,300.09513195250344,285.66043,303.2746,306.79858
2026-01-07 01:00:00,252.71747,301.18493,300.13834548729255,283.60394,252.26646,252.04741
2026-01-07 02:00:00,245.61747,301.18493,300.1209194239844,282.902,252.29063,251.29358
2026-01-07 03:00:00,245.61747,301.18493,300.0153708452434,282.94342,251.39049,251.47852
2026-01-07 04:00:00,249.61747,301.18493,299.82324214949483,282.99402,250.80408,250.38083
2026-01-07 05:00:00,252.71747,312.18493,310.2760162880251,290.58395,255.03822,253.30453
2026-01-07 06:00:00,252.71747,312.18493,309.92661423041517,290.0329,255.01346,256.80026
2026-01-07 07:00:00,252.71747,312.18493,309.5267919823883,291.12555,255.62514,260.14856
2026-01-07 08:00:00,252.71747,312.18493,309.0980218010244,293.12125,256.95834,265.78397
2026-01-07 09:00:00,245.61747,312.18493,308.66367645387106,293.6989,262.08066,271.9939
2026-01-07 10:00:00,249.61747,312.18493,308.24742057097615,294.62457,267.50903,278.40802
2026-01-07 11:00:00,252.71747,312.18493,307.8716035382359,298.05542,268.80167,283.3142
2026-01-07 12:00:00,252.71747,312.18493,307.5557619126962,300.88553,271.76486,288.45978
2026-01-07 13:00:00,252.71747,312.18493,307.31532675842936,304.01593,276.99057,291.51877
2026-01-07 14:00:00,261.20247,312.18493,307.1606140145089,305.60556,282.3194,296.93713
2026-01-07 15:00:00,292.71747,312.18493,307.09615603698177,305.33347,285.0894,301.44128
2026-01-07 16:00:00,292.71747,339.18493,333.1448792463383,319.38492,290.44217,300.32513
2026-01-07 17:00:00,312.71747,339.18493,333.2592718615681,322.0953,292.0269,299.53665
2026-01-07 18:00:00,328.20947,349.60093,343.4854886032025,328.53128,298.0249,306.12592
2026-01-07 19:00:00,328.20947,349.60093,343.7360721292877,328.35962,304.9779,314.3643
2026-01-07 20:00:00,328.20947,339.18493,333.96618425286806,325.53033,302.68326,314.28613
2026-01-07 21:00:00,321.71747,339.18493,334.2483609018173,324.38373,296.08072,304.94943
2026-01-07 22:00:00,312.71747,322.18493,318.06372650144965,308.62552,277.87695,291.73514
2026-01-07 23:00:00,292.71747,312.18493,308.5836398309732,300.09546,262.08685,273.13416
2026-01-08 00:00:00,108.19992,252.71747,252.43187243800585,253.98334,251.74759,261.31885
2026-01-08 01:00:00,108.19992,252.71747,252.54058007281137,250.77058,110.710785,106.24208
2026-01-08 02:00:00,108.19992,245.61747,245.80160356611069,236.55376,108.121346,107.85736
2026-01-08 03:00:00,108.19992,245.61747,245.95041351204014,235.51808,100.428406,108.03546
2026-01-08 04:00:00,118.19992,249.61747,249.95721225332335,249.7827,111.4929,118.376816
2026-01-08 05:00:00,156.68492,252.71747,253.01540058617144,254.35129,154.85934,139.72023
2026-01-08 06:00:00,118.19992,252.71747,252.9745488246557,255.10973,167.3991,157.99246
2026-01-08 07:00:00,118.19992,252.71747,252.89262136005462,260.72372,173.53314,170.5098
2026-01-08 08:00:00,118.19992,252.71747,252.78686775497627,259.10892,179.34465,183.04758
2026-01-08 09:00:00,108.19992,245.61747,245.71335958854735,237.87425,185.48047,194.32254
2026-01-08 10:00:00,118.19992,249.61747,249.54116558966098,251.31572,194.05412,201.20786
2026-01-08 11:00:00,156.68492,252.71747,252.51546879088932,261.29263,208.19733,204.34572
2026-01-08 12:00:00,228.19992,252.71747,252.49965482476443,262.4278,211.62662,213.55075
2026-01-08 13:00:00,118.19992,252.71747,252.54486535233553,266.5479,227.00613,223.6752
2026-01-08 14:00:00,238.19992,261.20247,260.9751741522816,271.77896,242.8509,231.74919
2026-01-08 15:00:00,270.19992,292.71747,292.0334438895473,290.15405,249.65482,240.34084
2026-01-08 16:00:00,270.19992,292.71747,292.33461347256315,290.21854,252.53204,244.91591
2026-01-08 17:00:00,288.19992,312.71747,312.3108570147304,317.55884,247.79082,245.13806
2026-01-08 18:00:00,288.19992,328.20947,327.97023963215406,324.8868,267.5688,250.04176
2026-01-08 19:00:00,288.19992,328.20947,328.51976888772043,322.60486,273.68796,257.49823
2026-01-08 20:00:00,288.19992,328.20947,329.1012695859167,322.06522,264.6421,257.5104
2026-01-08 21:00:00,288.19992,321.71747,323.2945597003902,320.29816,259.30844,243.93222
2026-01-08 22:00:00,270.19992,312.71747,314.9689420666332,313.05606,227.6712,219.6634
2026-01-08 23:00:00,270.19992,292.71747,295.67787472213143,286.42438,197.00299,175.75253
2026-01-09 00:00:00,148.95631,108.19992,109.82333687775257,155.78125,164.81033,152.48578
2026-01-09 01:00:00,124.95631,108.19992,109.87254054520454,154.11282,147.96588,148.92638
2026-01-09 02:00:00,124.95631,108.19992,109.89476064572462,153.68564,147.42287,141.20395
2026-01-09 03:00:00,124.95631,108.19992,109.8851959525218,153.54384,147.8881,134.0767
2026-01-09 04:00:00,148.95631,118.19992,119.78950891979187,161.64037,151.41428,135.19133
2026-01-09 05:00:00,148.95631,156.68492,157.8211477204248,173.26187,163.55049,139.50052
2026-01-09 06:00:00,209.95631,118.19992,119.61223602449715,163.34668,163.41032,141.24747
2026-01-09 07:00:00,209.95631,118.19992,119.49140425375889,164.89091,170.41689,140.06862
2026-01-09 08:00:00,148.95631,118.19992,119.35955276766717,164.91931,178.17354,139.77786
2026-01-09 09:00:00,124.95631,108.19992,109.32727009284119,155.51082,183.5357,144.91432
2026-01-09 10:00:00,124.95631,118.19992,119.09844507143391,163.94214,193.95319,154.97029
2026-01-09 11:00:00,148.95631,156.68492,156.86247217045818,174.26836,197.34232,172.94339
2026-01-09 12:00:00,148.95631,228.19992,226.61848068630582,223.55084,210.70377,180.95001
2026-01-09 13:00:00,209.95631,118.19992,118.83751944881372,164.84023,225.27527,189.25546
2026-01-09 14:00:00,249.95631,238.19992,236.17660568472542,239.83139,233.2875,199.06012
2026-01-09 15:00:00,249.95631,270.19992,267.2616446558364,253.13263,247.2562,213.28476
2026-01-09 16:00:00,249.95631,270.19992,267.35286609584483,253.13263,252.29428,215.82472
2026-01-09 17:00:00,249.95631,288.19992,284.97576315606125,270.26178,247.48022,221.25023
2026-01-09 18:00:00,279.95631,288.19992,285.20936403043834,270.26178,285.87094,251.12495
2026-01-09 19:00:00,279.95631,288.19992,285.48917165915765,270.26178,297.79465,272.6444
2026-01-09 20:00:00,279.95631,288.19992,285.79592931406887,269.86578,278.0091,261.86792
2026-01-09 21:00:00,249.95631,288.19992,286.1084896323269,269.58218,256.50275,234.07588
2026-01-09 22:00:00,249.95631,270.19992,268.8555672143906,251.8378,233.66885,205.06793
2026-01-09 23:00:00,228.85631,270.19992,269.0999615015005,245.73868,210.64294,177.03041
2026-01-10 00:00:00,176.78564,148.95631,150.6791240729362,162.05942,184.2599,155.42746
