fecha_hora,N-BEATSx_3a,N-HiTS_3a,N-BEATSx_5a,N-HiTS_5a
2026-01-13 04:00:00,115.872025,112.84796,106.669014,105.499306
2026-01-13 05:00:00,121.88836,128.84842,111.53823,114.243095
2026-01-13 06:00:00,127.01036,123.80867,121.5708,119.01308
2026-01-13 07:00:00,136.78421,127.2528,121.45832,123.009026
2026-01-13 08:00:00,152.58344,134.83534,136.6325,134.19858
2026-01-13 09:00:00,157.82642,138.19914,139.55075,147.5046
2026-01-13 10:00:00,170.74939,135.27379,143.04633,156.88266
2026-01-13 11:00:00,176.6499,150.57214,152.38779,167.24765
2026-01-13 12:00:00,200.07306,157.06894,171.16641,171.58304
2026-01-13 13:00:00,222.98886,164.9384,176.10637,181.92786
2026-01-13 14:00:00,226.4642,188.6709,185.39334,189.10121
2026-01-13 15:00:00,243.5293,195.18747,207.28261,192.95029
2026-01-13 16:00:00,243.41266,223.37663,210.83232,192.90674
2026-01-13 17:00:00,236.07062,245.30328,219.58725,208.33191
2026-01-13 18:00:00,263.22427,249.08894,226.4884,238.1878
2026-01-13 19:00:00,286.09332,294.9416,241.03433,237.21736
2026-01-13 20:00:00,282.24728,316.87152,229.12271,219.71585
2026-01-13 21:00:00,241.18443,260.88654,192.8364,202.24973
2026-01-13 22:00:00,192.3323,187.96468,166.55562,173.5723
2026-01-13 23:00:00,154.32446,151.12277,141.32257,136.68948
2026-01-14 00:00:00,124.31323,122.39211,123.41578,115.27723
2026-01-14 01:00:00,110.71806,106.88147,109.14794,107.22055
2026-01-14 02:00:00,110.198944,113.13926,109.83239,103.41238
2026-01-14 03:00:00,104.813126,115.11434,105.734955,101.77453
2026-01-14 04:00:00,103.238625,117.26073,109.49403,102.204796
2026-01-14 05:00:00,108.56053,120.32547,109.200745,107.22084
2026-01-14 06:00:00,111.34573,126.78267,119.07199,110.86775
2026-01-14 07:00:00,113.88477,130.28966,121.83309,112.04421
2026-01-14 08:00:00,121.41478,126.249405,127.85976,121.09413
2026-01-14 09:00:00,122.36902,126.01172,128.52345,132.18513
2026-01-14 10:00:00,133.8013,122.912575,132.89409,139.55037
2026-01-14 11:00:00,138.87761,129.4264,137.23103,145.7247
2026-01-14 12:00:00,146.6702,131.84964,149.66652,148.66017
2026-01-14 13:00:00,165.23468,138.08401,141.27542,158.00807
2026-01-14 14:00:00,171.58258,153.2857,153.70473,168.03394
2026-01-14 15:00:00,193.82349,160.50452,175.21379,176.68065
2026-01-14 16:00:00,199.00243,173.84744,169.99573,191.66621
2026-01-14 17:00:00,193.82202,183.027,178.7666,213.1813
2026-01-14 18:00:00,231.86536,188.2659,220.34592,234.65904
2026-01-14 19:00:00,265.75598,206.4822,258.2203,231.16139
2026-01-14 20:00:00,254.28372,210.77875,217.6666,202.58429
2026-01-14 21:00:00,207.4233,190.17126,165.95856,178.19168
2026-01-14 22:00:00,166.05614,159.76128,140.28577,158.20215
2026-01-14 23:00:00,140.75436,143.23859,125.84651,134.00648
2026-01-15 00:00:00,123.8112,123.841835,112.68905,118.469505
2026-01-15 01:00:00,110.6353,109.105736,114.71881,111.14213
2026-01-15 02:00:00,110.00233,105.87313,114.6875,110.87325
2026-01-15 03:00:00,108.06888,104.34462,115.94634,110.92217
2026-01-15 04:00:00,106.36846,107.2598,113.71475,112.37008
2026-01-15 05:00:00,106.89812,107.175224,117.07312,114.556404
2026-01-15 06:00:00,106.21704,111.06964,122.329865,115.8422
2026-01-15 07:00:00,106.45469,112.66998,121.74654,118.06909
2026-01-15 08:00:00,108.513596,110.83902,124.929276,119.08823
2026-01-15 09:00:00,108.4033,113.78876,127.91301,119.913956
2026-01-15 10:00:00,109.083435,116.393684,126.15214,120.80465
2026-01-15 11:00:00,109.481995,118.174446,128.46588,122.93582
2026-01-15 12:00:00,109.084175,122.11569,135.25034,124.65896
2026-01-15 13:00:00,109.18031,123.465225,139.16064,128.29698
2026-01-15 14:00:00,108.85784,131.56021,150.85944,136.0039
2026-01-15 15:00:00,112.440636,138.47447,163.15327,143.60411
2026-01-15 16:00:00,116.67561,149.04144,161.78091,145.11844
2026-01-15 17:00:00,116.41203,153.9049,165.27304,151.49013
2026-01-15 18:00:00,123.19581,154.98503,196.82306,174.2682
2026-01-15 19:00:00,131.80069,156.70633,244.29884,188.81017
2026-01-15 20:00:00,134.20245,163.28181,223.3706,181.28772
2026-01-15 21:00:00,129.90445,150.84317,172.96994,168.79025
2026-01-15 22:00:00,119.89045,133.44025,139.0768,152.77425
2026-01-15 23:00:00,110.91266,121.186615,133.22581,133.95079
2026-01-16 00:00:00,108.420845,113.96736,126.60392,121.41232
2026-01-16 01:00:00,110.53606,111.170265,110.413506,109.24866
2026-01-16 02:00:00,110.33707,107.034065,111.24746,109.51465
2026-01-16 03:00:00,108.48072,104.164925,111.41745,108.40094
2026-01-16 04:00:00,107.88497,101.24907,109.4947,110.26533
2026-01-16 05:00:00,109.64054,103.904625,111.49556,113.11174
2026-01-16 06:00:00,107.52159,108.49032,113.19834,114.835075
2026-01-16 07:00:00,107.718155,113.78766,117.65115,116.29605
2026-01-16 08:00:00,108.99547,111.63815,119.0624,119.98564
2026-01-16 09:00:00,111.18368,115.1429,122.86933,127.371826
2026-01-16 10:00:00,111.0043,119.46155,125.567665,131.99634
2026-01-16 11:00:00,111.973694,123.096306,127.759796,134.72783
2026-01-16 12:00:00,114.36886,124.65705,131.64725,139.98375
2026-01-16 13:00:00,118.98985,127.61803,134.8207,145.20146
2026-01-16 14:00:00,118.722466,138.57794,138.10526,150.34624
2026-01-16 15:00:00,122.57466,149.13507,140.95706,155.49843
2026-01-16 16:00:00,132.45135,163.11467,141.5347,155.12663
2026-01-16 17:00:00,144.75528,168.61957,148.2463,156.4728
2026-01-16 18:00:00,157.0752,174.36128,151.83568,164.15747
2026-01-16 19:00:00,172.3749,187.21155,157.24432,169.36345
2026-01-16 20:00:00,174.6485,192.28545,151.35419,167.89018
2026-01-16 21:00:00,159.71619,182.90573,141.78738,163.47194
2026-01-16 22:00:00,136.90976,161.53659,130.9449,151.94731
2026-01-16 23:00:00,117.21325,139.6989,126.559006,134.41255
2026-01-17 00:00:00,115.294556,125.59423,118.78497,124.48932
2026-01-17 01:00:00,103.20676,100.3178,100.75444,99.23644
2026-01-17 02:00:00,102.99826,99.31169,100.04575,99.307434
2026-01-17 03:00:00,102.65403,98.903175,100.20683,99.36949
2026-01-17 04:00:00,100.8833,100.38012,99.53833,98.77649
2026-01-17 05:00:00,100.6577,100.120735,98.14898,98.10884
2026-01-17 06:00:00,100.14159,100.9736,97.470825,97.39011
2026-01-17 07:00:00,98.864334,100.01979,99.21802,97.8701
2026-01-17 08:00:00,98.244225,100.99598,99.64625,99.742874
2026-01-17 09:00:00,98.92788,100.494965,100.57001,101.5473
2026-01-17 10:00:00,100.110535,99.44351,102.18999,103.257866
2026-01-17 11:00:00,100.45685,97.1293,102.64575,103.31512
2026-01-17 12:00:00,102.23482,99.2787,104.53492,103.06767
2026-01-17 13:00:00,102.66429,101.25066,105.33549,102.73944
2026-01-17 14:00:00,102.36511,100.43397,103.8441,102.569786
2026-01-17 15:00:00,107.31776,104.61436,104.4525,102.91318
2026-01-17 16:00:00,110.10662,104.93028,107.305595,104.02898
2026-01-17 17:00:00,108.7372,106.90446,108.91984,105.24692
2026-01-17 18:00:00,109.80731,110.222206,111.60842,107.71431
2026-01-17 19:00:00,112.419914,111.96159,115.1488,111.12142
2026-01-17 20:00:00,107.64922,110.679,111.71139,111.19289
2026-01-17 21:00:00,108.63904,107.3748,109.44619,108.41426
2026-01-17 22:00:00,105.441925,105.55687,105.32,106.246346
2026-01-17 23:00:00,103.49556,103.12784,102.622696,104.9787
2026-01-18 00:00:00,99.47097,100.3933,99.88157,103.07536
2026-01-18 01:00:00,105.22158,104.85861,105.161354,104.84255
2026-01-18 02:00:00,105.402916,104.07277,105.36129,104.979294
2026-01-18 03:00:00,105.09842,104.71601,104.9731,105.12522
2026-01-18 04:00:00,104.457596,104.62177,103.40783,104.872505
2026-01-18 05:00:00,104.9114,104.44626,103.08354,104.352036
2026-01-18 06:00:00,103.858635,104.76267,102.90658,103.72489
2026-01-18 07:00:00,103.14444,104.61945,102.9025,103.77229
2026-01-18 08:00:00,101.73975,104.588486,102.73393,104.441216
2026-01-18 09:00:00,101.68885,104.47309,104.03795,104.97936
2026-01-18 10:00:00,102.78836,104.08966,104.787895,105.4993
2026-01-18 11:00:00,104.018555,103.494675,104.94853,105.449394
