fecha_hora,real,v4 (referencia),nivel v4 + forma ajustada (ronda 1),nivel v4 + forma ajustada con perfiles semanales,nivel v4 + forma perfil7 puro,Persistencia,v4 desplegable (referencia),nivel v4 desplegable + forma desplegable con perfiles
2026-05-12 05:00:00,495.64994,480.09702247925657,460.5209663485947,459.50477430653467,441.52914751880775,292.39693,479.4386055562492,447.5965408112197
2026-05-12 06:00:00,495.64994,457.4800834222456,444.9720813371309,443.2374134372715,419.97125751880776,278.39693,465.04605736917256,442.0261380261328
2026-05-12 07:00:00,469.53894,459.8902389454356,452.16303159738334,449.2623504474542,419.97125751880776,307.39693,463.7686002385535,449.32676161892385
2026-05-12 08:00:00,482.53894,466.50243724252783,450.0153696577058,447.76798982716866,419.97125751880776,278.39693,465.24310680951777,441.5396094245077
2026-05-12 09:00:00,469.53894,456.0950722350001,441.2518290355919,439.96155079779663,419.97125751880776,276.39693,456.52499048479547,433.10479338684405
2026-05-12 10:00:00,482.53894,455.4621646401448,441.7160408245578,439.72132942842387,419.97125751880776,278.39693,455.3146420785508,435.60706571499145
2026-05-12 11:00:00,482.53894,466.87963905621655,456.8394441304917,453.96147550141313,419.97125751880776,307.39693,465.58557060790383,452.4536017726863
2026-05-12 12:00:00,482.53894,426.967673153516,431.78821359346637,430.20756773303754,419.97125751880776,307.39693,447.78555716998767,446.0429811653188
2026-05-12 13:00:00,495.64994,432.1778336015085,436.41686899088074,434.1759583784091,419.97125751880776,307.39693,454.10635024717686,451.8072609553387
2026-05-12 14:00:00,508.45494,489.30014587279527,506.5497107711527,501.38928412447933,441.52914751880775,458.39693,487.5500166285351,512.2225481616117
2026-05-12 15:00:00,803.53894,501.4039254282689,518.3074425725579,512.4077571393711,441.52914751880775,468.39693,499.9371234195319,522.9310181742989
2026-05-12 16:00:00,824.53894,515.5263558832083,533.9826464110789,530.4687924048823,497.41367751880773,488.50793,512.5176131201878,538.8293174058515
2026-05-12 17:00:00,824.53894,534.1282305390898,548.7484056181597,545.1068302321798,504.47125751880776,488.50793,534.796012774554,553.2025543809259
2026-05-12 18:00:00,834.53894,694.6491982315591,711.702569780972,711.8400460421778,694.4712575188078,699.99193,664.4927341483738,700.5345417385165
2026-05-12 19:00:00,834.53894,735.4498282871039,747.9857343074818,794.623928040129,1307.1562575188077,699.99193,709.5572160237912,738.0682035112015
2026-05-12 20:00:00,829.53894,586.7071631958014,595.0957805201039,601.6404751153034,678.1928775188078,488.50793,572.6525716056184,591.76548246547
2026-05-12 21:00:00,824.53894,536.6584378137837,551.5966040175197,560.0154789953858,665.3981475188077,488.50793,524.094524616461,552.6760369226943
2026-05-12 22:00:00,824.53894,501.3734082919766,518.077321010228,514.0729650547453,474.47125751880776,468.39693,488.9051654478426,521.1664585090987
2026-05-12 23:00:00,503.53894,496.69435525273866,513.6278436033199,507.34884841521716,441.52914751880775,463.39693,482.89232889013135,514.9140387566066
2026-05-13 00:00:00,660.78986,503.81679579723664,516.6968140260615,504.1917159612955,433.91367751880773,495.64994,501.3779082503583,529.488581919947
2026-05-13 01:00:00,654.55886,655.2204939142703,634.7773398253431,637.7772275581176,625.39261316583,495.64994,651.785493731932,613.354122376401
2026-05-13 02:00:00,654.55886,651.3940593984826,630.4636898866704,632.363913422749,617.7771431658299,495.64994,647.3362633804815,610.3172308141477
2026-05-13 03:00:00,654.55886,644.3856161332002,617.6781558835892,620.6536050237221,603.8347231658299,469.53894,639.8682429067924,592.1075236871541
2026-05-13 04:00:00,703.44786,646.264090245327,624.4597567599567,625.7031387241697,617.7771431658299,495.64994,641.2733192464478,606.082166325508
2026-05-13 05:00:00,770.97986,654.6641289454219,631.9412566547326,633.0645987053999,625.39261316583,495.64994,649.7252741723543,612.5899487787789
2026-05-13 06:00:00,703.44786,598.9033372027435,601.1480860101897,602.4578831160532,603.8347231658299,495.64994,633.5045206053368,610.8697312487839
2026-05-13 07:00:00,654.55886,579.4436938182406,581.2834893000575,584.2125711280042,603.8347231658299,469.53894,622.6103689136536,593.491494855468
2026-05-13 08:00:00,654.55886,597.1078209208964,596.2070350490468,599.3800082911716,603.8347231658299,482.53894,631.3034808474554,601.6082996946901
2026-05-13 09:00:00,489.44786,599.1384672711084,596.5521624583823,599.3784641286763,603.8347231658299,469.53894,631.3678528693441,599.6952830794532
2026-05-13 10:00:00,654.55886,597.3293909538083,596.8769215091484,599.4698522949725,603.8347231658299,482.53894,632.8462503833192,603.4902598479425
2026-05-13 11:00:00,654.55886,611.3924889860339,608.3507399110098,610.6300915451493,603.8347231658299,482.53894,646.1242299801012,611.4355307930684
2026-05-13 12:00:00,654.55886,614.5312504133926,611.6855941331246,614.0660330640753,603.8347231658299,482.53894,621.2754283701897,606.806412674291
2026-05-13 13:00:00,703.44786,631.8865716507502,630.6336600016867,629.7429870877104,603.8347231658299,495.64994,638.8099156713665,628.1093731476841
2026-05-13 14:00:00,703.44786,645.787871546889,645.3341973932394,645.284072583095,625.39261316583,508.45494,652.4350964736058,642.3810643759198
2026-05-13 15:00:00,770.97986,722.6708544273331,743.5752694197204,729.2154511677451,625.39261316583,803.53894,696.7666532827931,762.5775796070941
2026-05-13 16:00:00,823.44786,738.4455103516198,762.9205609400959,749.0972373158938,681.2771431658299,824.53894,711.375257601922,787.0237180355005
2026-05-13 17:00:00,833.44786,762.4700603065714,784.447593823342,771.5896503561623,688.3347231658299,824.53894,737.9665290338074,803.139760507533
2026-05-13 18:00:00,1083.44786,847.9217170176317,854.689984394295,857.599999330658,878.3347231658299,834.53894,824.0325184242417,853.0029415173934
2026-05-13 19:00:00,1093.44786,858.9811659614712,864.5094969931154,895.8585307487135,1208.0873531658299,834.53894,837.6228172942979,863.3374902025867
2026-05-13 20:00:00,903.44786,819.4723990895316,826.87663485708,827.0839020340965,862.05634316583,829.53894,805.0738318114148,835.4265661301063
2026-05-13 21:00:00,833.44786,778.2837377642675,789.207485628499,788.6828272310149,849.2616131658299,824.53894,770.7459583574142,807.3319617430029
2026-05-13 22:00:00,823.44786,750.8674514160948,762.8483626979529,749.3425503967723,658.3347231658299,824.53894,734.3468216722832,778.420916640418
2026-05-13 23:00:00,703.44786,613.0723790410061,614.4900258475576,614.4413766409632,625.39261316583,503.53894,602.5871249819628,614.2102590037525
