fecha_hora,real,pred_xgb_afinado,pred_catboost_afinado
2026-04-24 19:00:00,604.13793,342.12967,329.97310355453243
2026-04-24 20:00:00,314.13793,321.70175,309.9576478261202
2026-04-24 21:00:00,314.13793,319.806,309.17139595252536
2026-04-24 22:00:00,306.13793,296.32996,291.5675967913483
2026-04-24 23:00:00,279.13793,266.4238,258.6371501889085
2026-04-25 00:00:00,246.00735,248.13945,263.0266588809148
2026-04-25 01:00:00,246.00735,240.74365,262.1538451585074
2026-04-25 02:00:00,246.00735,243.13412,262.0231858226996
2026-04-25 03:00:00,246.00735,243.04405,261.53184365284864
2026-04-25 04:00:00,246.00735,248.83107,262.2684468765819
2026-04-25 05:00:00,246.00735,249.17917,259.94496091128866
2026-04-25 06:00:00,246.00735,248.43071,260.12156084542266
2026-04-25 07:00:00,246.00735,240.36752,245.31661439089248
2026-04-25 08:00:00,246.00735,240.49802,245.38140308866062
2026-04-25 09:00:00,246.00735,242.5887,246.17490825879116
2026-04-25 10:00:00,246.00735,241.69904,246.15997006778406
2026-04-25 11:00:00,246.00735,242.52335,260.37471395031423
2026-04-25 12:00:00,246.00735,242.27888,260.74934571141654
2026-04-25 13:00:00,246.00735,256.87564,262.1549205224134
2026-04-25 14:00:00,246.00735,269.28812,261.73326397237827
2026-04-25 15:00:00,246.00735,278.64914,272.100155126436
2026-04-25 16:00:00,266.21935,283.87616,285.58338754925063
2026-04-25 17:00:00,306.00735,304.3838,301.90433264575125
2026-04-25 18:00:00,316.00735,321.39832,319.4801959412515
2026-04-25 19:00:00,336.00735,436.995,438.27951910014247
2026-04-25 20:00:00,316.00735,302.49802,301.2866004383143
2026-04-25 21:00:00,306.00735,302.097,302.60085984528854
2026-04-25 22:00:00,286.00735,291.93573,285.9153824499631
2026-04-25 23:00:00,266.21935,268.6718,268.5838716807639
2026-04-26 00:00:00,258.12799,220.00044,237.7634891224229
2026-04-26 01:00:00,257.12799,220.00044,237.23636041178702
2026-04-26 02:00:00,250.42799,219.3921,236.81305802042053
2026-04-26 03:00:00,238.12799,219.51422,236.05322986659354
2026-04-26 04:00:00,238.12799,219.3921,234.34573140239567
2026-04-26 05:00:00,238.12799,218.82605,226.49468882198306
2026-04-26 06:00:00,238.12799,214.50272,225.68678324263726
2026-04-26 07:00:00,227.12799,214.98111,225.33046136835904
2026-04-26 08:00:00,227.12799,215.40901,225.49816892695875
2026-04-26 09:00:00,227.12799,215.1453,225.70255208600875
2026-04-26 10:00:00,227.12799,215.60107,225.7905493969633
2026-04-26 11:00:00,227.12799,215.71603,226.24220301178227
2026-04-26 12:00:00,227.12799,215.5253,225.59744331645868
2026-04-26 13:00:00,238.12799,218.91463,226.10596834772926
2026-04-26 14:00:00,238.12799,221.24623,225.98594421155954
2026-04-26 15:00:00,257.12799,217.8822,228.76308952586203
2026-04-26 16:00:00,258.33999,228.71736,236.39143689470515
2026-04-26 17:00:00,268.12799,278.07108,272.19130217190747
2026-04-26 18:00:00,278.12799,283.18478,285.0892518695256
2026-04-26 19:00:00,308.12799,296.85757,293.8384296494075
2026-04-26 20:00:00,308.12799,281.96265,286.6548589954036
2026-04-26 21:00:00,308.12799,274.84586,276.8558972332066
2026-04-26 22:00:00,268.12799,256.3721,270.04263554586225
2026-04-26 23:00:00,258.33999,229.51764,242.61241100048593
2026-04-27 00:00:00,251.80531,243.77261,255.07172084243814
2026-04-27 01:00:00,245.80531,242.44528,253.86364053436785
2026-04-27 02:00:00,245.80531,239.2801,246.16223739126886
2026-04-27 03:00:00,245.80531,223.12285,233.03830195853965
2026-04-27 04:00:00,251.80531,228.28415,238.45941621914778
2026-04-27 05:00:00,251.80531,238.61151,244.2447781629395
2026-04-27 06:00:00,251.80531,238.49675,245.1060605993278
2026-04-27 07:00:00,251.80531,234.57169,231.8506083329309
2026-04-27 08:00:00,251.80531,239.08086,232.520867253925
2026-04-27 09:00:00,251.80531,236.77473,233.51544489448233
2026-04-27 10:00:00,251.80531,238.1565,234.55409261890244
2026-04-27 11:00:00,251.80531,242.60973,234.6227767593919
2026-04-27 12:00:00,251.80531,239.13708,235.30473282494708
2026-04-27 13:00:00,251.80531,255.316,251.1870986499947
2026-04-27 14:00:00,277.01731,262.53314,252.32766624980124
2026-04-27 15:00:00,277.01731,281.36566,271.9081118909327
2026-04-27 16:00:00,281.80531,282.3663,271.9567270770147
2026-04-27 17:00:00,306.80531,298.13403,280.452717033757
2026-04-27 18:00:00,346.80531,321.0203,291.1729355504474
2026-04-27 19:00:00,596.80531,346.1073,313.9407002083193
2026-04-27 20:00:00,306.80531,340.65094,308.54986513938536
2026-04-27 21:00:00,306.80531,326.65268,306.1807950731818
2026-04-27 22:00:00,281.80531,271.1603,260.6882866111234
2026-04-27 23:00:00,277.01731,262.14337,259.2993897085306
2026-04-28 00:00:00,98.19155,247.20068,246.0262202748873
2026-04-28 01:00:00,103.40455,235.99135,244.47058027032458
2026-04-28 02:00:00,98.19155,232.48859,243.53261444359873
2026-04-28 03:00:00,98.19155,230.43034,242.36708821544056
2026-04-28 04:00:00,101.98955,243.01244,245.4232968372438
2026-04-28 05:00:00,257.04255,246.71495,248.3879378562193
2026-04-28 06:00:00,257.04255,249.38089,248.88047461906118
2026-04-28 07:00:00,257.04255,252.3908,249.39319443428104
2026-04-28 08:00:00,105.34955,256.22412,249.4944238568547
2026-04-28 09:00:00,98.19155,256.58542,250.47057920394985
2026-04-28 10:00:00,98.19155,254.23924,251.78152810220706
2026-04-28 11:00:00,101.98955,255.55411,253.5302694047998
2026-04-28 12:00:00,101.98955,255.49588,253.46474236232814
2026-04-28 13:00:00,257.04255,260.56714,253.22271923652514
2026-04-28 14:00:00,257.04255,278.19336,270.1095210917942
2026-04-28 15:00:00,267.04255,290.57678,279.9363481985913
2026-04-28 16:00:00,267.04255,302.2822,291.6779867939664
2026-04-28 17:00:00,272.04255,322.78458,299.9863621568485
2026-04-28 18:00:00,597.04255,347.77408,341.1175928954075
2026-04-28 19:00:00,1134.59455,496.56198,489.8136124828537
2026-04-28 20:00:00,307.04255,320.00275,304.41860423040515
2026-04-28 21:00:00,307.04255,316.1846,300.32480712891726
2026-04-28 22:00:00,257.04255,274.72336,276.89156983519143
2026-04-28 23:00:00,257.04255,265.72537,266.12316967601873
2026-04-29 00:00:00,121.41992,127.64314,135.32221276415245
2026-04-29 01:00:00,121.41992,127.86988,132.04130892146324
2026-04-29 02:00:00,115.33292,122.94235,126.08540387502755
2026-04-29 03:00:00,115.33292,122.53851,125.88240967189033
2026-04-29 04:00:00,115.33292,127.0932,127.34586993886774
2026-04-29 05:00:00,122.49092,235.94086,244.43249256219246
2026-04-29 06:00:00,121.41992,235.22348,243.86826150756045
2026-04-29 07:00:00,122.49092,237.09549,243.6597381258869
2026-04-29 08:00:00,122.49092,133.57376,132.63441909269145
2026-04-29 09:00:00,115.33292,128.52763,126.98362386656056
2026-04-29 10:00:00,115.33292,130.47418,127.8713194023809
2026-04-29 11:00:00,115.33292,134.99667,129.9971631600687
2026-04-29 12:00:00,115.33292,129.04791,128.28726307868143
2026-04-29 13:00:00,122.49092,247.74446,248.93899658578673
2026-04-29 14:00:00,274.18392,261.68152,258.2709939521211
2026-04-29 15:00:00,279.18392,263.5476,261.46474256605785
2026-04-29 16:00:00,282.18392,262.33405,261.3659662802553
2026-04-29 17:00:00,364.18392,262.74292,264.41169017791066
2026-04-29 18:00:00,364.18392,469.16086,474.39906469784967
2026-04-29 19:00:00,614.18392,623.5519,658.5004008969551
2026-04-29 20:00:00,614.18392,289.02658,279.0189479305988
2026-04-29 21:00:00,284.18392,286.38272,287.5104187484417
2026-04-29 22:00:00,274.18392,251.48428,254.73457984451412
2026-04-29 23:00:00,274.18392,235.8269,241.27680804438452
2026-04-30 00:00:00,123.9943,144.5197,141.35757136330116
2026-04-30 01:00:00,123.9943,142.35635,141.2976527988115
2026-04-30 02:00:00,123.9943,140.47482,134.80297568803928
2026-04-30 03:00:00,123.9943,141.01292,135.18722943894622
2026-04-30 04:00:00,123.9943,143.04388,137.06394012303568
2026-04-30 05:00:00,225.6873,150.45532,145.8721530176626
2026-04-30 06:00:00,225.6873,150.65396,143.86243748453623
2026-04-30 07:00:00,123.9943,155.50719,146.01475528474256
2026-04-30 08:00:00,116.8363,156.25957,146.0859979254583
2026-04-30 09:00:00,116.8363,148.34657,138.31994230908484
2026-04-30 10:00:00,120.6343,152.60844,138.55385567828756
2026-04-30 11:00:00,225.6873,155.09796,139.07991741798813
2026-04-30 12:00:00,225.6873,155.23077,139.30725863652202
2026-04-30 13:00:00,225.6873,162.47989,148.31964483767197
2026-04-30 14:00:00,225.6873,258.21707,261.81312559601565
2026-04-30 15:00:00,265.6873,277.12585,267.3382910032681
2026-04-30 16:00:00,265.6873,287.25513,286.894129050645
2026-04-30 17:00:00,274.6873,331.96985,329.08996389364324
2026-04-30 18:00:00,285.6873,336.74533,335.48112355949263
2026-04-30 19:00:00,285.6873,475.36188,467.6193387595861
2026-04-30 20:00:00,285.6873,473.75003,475.045962026846
2026-04-30 21:00:00,265.6873,288.61343,285.75493486130085
2026-04-30 22:00:00,265.6873,267.84256,264.966272472586
