fecha_hora,real,NBEATSx_rec,NHITS_rec
2026-01-11 00:00:00,119.10337,209.67972,211.06888
2026-01-11 01:00:00,116.18537,205.39445,200.57932
2026-01-11 02:00:00,116.18537,204.05807,192.94067
2026-01-11 03:00:00,116.18537,205.40428,191.45517
2026-01-11 04:00:00,116.18537,204.7207,193.55981
2026-01-11 05:00:00,116.18537,195.58624,195.38739
2026-01-11 06:00:00,116.18537,186.3449,194.23889
2026-01-11 07:00:00,114.73137,181.54945,191.81262
2026-01-11 08:00:00,110.59537,184.1578,191.30281
2026-01-11 09:00:00,110.59537,180.94781,188.47498
2026-01-11 10:00:00,110.59537,188.27141,187.76749
2026-01-11 11:00:00,110.59537,185.78647,190.52527
2026-01-11 12:00:00,112.10337,189.35403,193.37437
2026-01-11 13:00:00,116.17837,192.32649,195.29295
2026-01-11 14:00:00,116.18537,197.67667,198.46297
2026-01-11 15:00:00,116.18537,202.60045,203.20464
2026-01-11 16:00:00,119.10337,210.73349,209.16948
2026-01-11 17:00:00,119.10337,224.55972,220.82777
2026-01-11 18:00:00,154.10337,242.0431,237.38948
2026-01-11 19:00:00,219.10337,262.31458,248.64558
2026-01-11 20:00:00,154.10337,269.50403,253.91022
2026-01-11 21:00:00,154.10337,269.91904,249.19633
2026-01-11 22:00:00,124.10337,244.91983,234.70123
2026-01-11 23:00:00,119.10337,228.46516,221.24261
2026-01-12 00:00:00,117.87734,118.83077,118.56404
2026-01-12 01:00:00,113.88434,121.59069,116.6004
2026-01-12 02:00:00,113.88434,120.274345,112.10879
2026-01-12 03:00:00,113.88434,120.87681,110.62239
2026-01-12 04:00:00,113.88434,119.09687,110.41599
2026-01-12 05:00:00,113.88434,117.83617,110.747795
2026-01-12 06:00:00,113.88434,116.87375,109.576904
2026-01-12 07:00:00,113.88434,115.45755,108.86866
2026-01-12 08:00:00,113.46634,113.11672,108.75245
2026-01-12 09:00:00,113.46634,111.56198,107.64677
2026-01-12 10:00:00,113.46634,113.29233,106.99949
2026-01-12 11:00:00,151.38434,110.570404,108.22659
2026-01-12 12:00:00,151.38434,113.288284,111.14432
2026-01-12 13:00:00,196.38434,109.51885,114.23196
2026-01-12 14:00:00,196.38434,115.684494,117.95159
2026-01-12 15:00:00,196.38434,121.1732,122.22935
2026-01-12 16:00:00,206.38434,128.22473,126.73171
2026-01-12 17:00:00,206.38434,129.89668,134.89595
2026-01-12 18:00:00,216.38434,138.73761,145.32816
2026-01-12 19:00:00,216.38434,161.33484,153.06355
2026-01-12 20:00:00,216.38434,153.21231,158.65984
2026-01-12 21:00:00,216.38434,145.52641,152.64702
2026-01-12 22:00:00,206.38434,133.34938,135.63707
2026-01-12 23:00:00,206.38434,128.1532,126.89399
2026-01-13 00:00:00,105.22064,158.13,176.5542
2026-01-13 01:00:00,105.21064,120.785385,156.67381
2026-01-13 02:00:00,105.21064,104.16205,142.7023
2026-01-13 03:00:00,105.20264,104.526955,138.382
2026-01-13 04:00:00,105.21064,120.84995,140.53844
2026-01-13 05:00:00,105.22064,129.25615,149.54517
2026-01-13 06:00:00,105.22064,148.62079,160.62259
2026-01-13 07:00:00,105.22064,154.781,167.73253
2026-01-13 08:00:00,105.22064,155.67328,170.64108
2026-01-13 09:00:00,105.22064,165.44736,176.96205
2026-01-13 10:00:00,105.22064,173.1242,182.97583
2026-01-13 11:00:00,105.22064,185.49608,189.92487
2026-01-13 12:00:00,105.22064,195.63023,192.53119
2026-01-13 13:00:00,105.22064,196.73865,195.24942
2026-01-13 14:00:00,188.12064,204.84178,202.17448
2026-01-13 15:00:00,208.12064,213.46039,206.70985
2026-01-13 16:00:00,208.12064,222.94386,213.6273
2026-01-13 17:00:00,208.12064,226.75528,213.14389
2026-01-13 18:00:00,209.12064,224.84799,228.67671
2026-01-13 19:00:00,209.12064,232.65173,252.43082
2026-01-13 20:00:00,209.12064,239.87703,247.23999
2026-01-13 21:00:00,208.12064,227.95976,223.30461
2026-01-13 22:00:00,208.12064,214.42195,202.7777
2026-01-13 23:00:00,188.12064,193.17078,191.14015
2026-01-14 00:00:00,109.65888,141.44508,132.44518
2026-01-14 01:00:00,109.65888,104.22428,103.88133
2026-01-14 02:00:00,109.65888,89.930176,98.05658
2026-01-14 03:00:00,109.65888,98.52225,99.19767
2026-01-14 04:00:00,109.65888,111.85319,102.43021
2026-01-14 05:00:00,109.65888,117.15353,115.41669
2026-01-14 06:00:00,109.65888,129.78455,128.98907
2026-01-14 07:00:00,109.65888,134.69626,139.4065
2026-01-14 08:00:00,109.65888,135.55327,139.54178
2026-01-14 09:00:00,109.65888,138.07864,146.22533
2026-01-14 10:00:00,109.65888,149.37718,157.23463
2026-01-14 11:00:00,109.65888,160.76816,164.68823
2026-01-14 12:00:00,109.65888,164.50595,169.69571
2026-01-14 13:00:00,109.65888,174.84007,179.31671
2026-01-14 14:00:00,138.16688,181.14459,191.25864
2026-01-14 15:00:00,138.16688,193.44998,198.71967
2026-01-14 16:00:00,142.16688,196.26349,210.26196
2026-01-14 17:00:00,213.16688,199.99133,212.51677
2026-01-14 18:00:00,213.16688,196.95322,232.55573
2026-01-14 19:00:00,217.16688,208.88382,260.433
2026-01-14 20:00:00,213.16688,221.2878,245.2826
2026-01-14 21:00:00,213.16688,217.889,211.28215
2026-01-14 22:00:00,142.16688,194.83044,183.60104
2026-01-14 23:00:00,138.16688,169.25052,166.84195
2026-01-15 00:00:00,111.95694,115.20447,127.73914
2026-01-15 01:00:00,111.95694,93.41191,112.44312
2026-01-15 02:00:00,111.95694,89.51473,102.924866
2026-01-15 03:00:00,111.95694,91.76254,100.97603
2026-01-15 04:00:00,111.95694,94.43526,102.01189
2026-01-15 05:00:00,111.95694,102.81007,108.6213
2026-01-15 06:00:00,117.54694,105.456635,115.54116
2026-01-15 07:00:00,117.54694,103.95792,118.05674
2026-01-15 08:00:00,117.54694,105.719955,118.02232
2026-01-15 09:00:00,111.95694,105.55619,117.23268
2026-01-15 10:00:00,117.54694,103.511375,114.88072
2026-01-15 11:00:00,117.54694,103.75644,118.08066
2026-01-15 12:00:00,117.54694,105.39551,119.26729
2026-01-15 13:00:00,119.09994,109.08767,122.27722
2026-01-15 14:00:00,190.55694,109.674675,127.42654
2026-01-15 15:00:00,190.55694,121.829475,134.41043
2026-01-15 16:00:00,190.55694,129.36844,143.51775
2026-01-15 17:00:00,190.55694,132.79585,148.00009
2026-01-15 18:00:00,190.55694,161.36507,165.5101
2026-01-15 19:00:00,191.55694,203.16577,193.70505
2026-01-15 20:00:00,190.55694,203.41225,199.17847
2026-01-15 21:00:00,190.55694,168.11842,176.23627
2026-01-15 22:00:00,190.55694,128.64397,143.73817
2026-01-15 23:00:00,117.54694,111.74135,124.693436
2026-01-16 00:00:00,109.64545,113.25566,117.04277
2026-01-16 01:00:00,109.64545,105.71247,113.96496
2026-01-16 02:00:00,109.64545,102.42298,109.993095
2026-01-16 03:00:00,109.64545,101.89194,108.10503
2026-01-16 04:00:00,109.64545,104.47755,108.34593
2026-01-16 05:00:00,109.64545,105.74913,110.159
2026-01-16 06:00:00,109.64545,108.200386,112.243996
2026-01-16 07:00:00,109.64545,107.31997,113.037346
2026-01-16 08:00:00,109.64545,108.60757,113.67824
2026-01-16 09:00:00,109.64545,107.82839,116.07317
2026-01-16 10:00:00,109.64545,110.04003,117.98841
2026-01-16 11:00:00,109.64545,112.25172,120.61559
2026-01-16 12:00:00,109.64545,114.677826,121.92877
2026-01-16 13:00:00,109.64545,117.93356,125.38479
2026-01-16 14:00:00,109.64545,116.52522,127.3119
2026-01-16 15:00:00,109.64545,115.56142,128.36688
2026-01-16 16:00:00,113.78145,123.5936,131.67578
2026-01-16 17:00:00,117.24545,128.93648,134.0065
2026-01-16 18:00:00,168.24545,133.3558,140.44496
2026-01-16 19:00:00,168.24545,145.72577,152.52582
2026-01-16 20:00:00,168.24545,155.4089,165.72464
2026-01-16 21:00:00,117.24545,141.8729,157.47975
2026-01-16 22:00:00,109.64545,123.88145,134.11086
2026-01-16 23:00:00,109.64545,111.85379,120.46876
2026-01-17 00:00:00,100.55036,108.54634,109.48195
2026-01-17 01:00:00,100.55036,107.90691,109.585365
2026-01-17 02:00:00,100.55036,107.34512,109.46572
2026-01-17 03:00:00,100.55036,107.04357,109.447464
2026-01-17 04:00:00,100.55036,104.19809,109.264084
2026-01-17 05:00:00,100.55036,104.637695,109.03516
2026-01-17 06:00:00,104.68636,102.29486,108.24499
2026-01-17 07:00:00,100.55036,105.27133,108.528885
2026-01-17 08:00:00,100.55036,103.66198,109.49008
2026-01-17 09:00:00,100.55036,102.857155,110.26152
2026-01-17 10:00:00,100.55036,106.40253,111.884796
2026-01-17 11:00:00,100.55036,107.227165,112.935295
2026-01-17 12:00:00,100.55036,106.748634,113.91653
2026-01-17 13:00:00,100.55036,110.90427,114.72712
2026-01-17 14:00:00,100.55036,111.19368,114.90542
2026-01-17 15:00:00,100.55036,107.57897,115.79821
2026-01-17 16:00:00,108.15036,112.92257,117.5354
2026-01-17 17:00:00,114.15036,111.58801,120.09907
2026-01-17 18:00:00,126.15036,112.16052,123.524
2026-01-17 19:00:00,126.15036,114.0696,125.20344
2026-01-17 20:00:00,126.15036,112.09475,125.27326
2026-01-17 21:00:00,126.15036,112.86658,122.990555
2026-01-17 22:00:00,126.15036,111.2367,118.30843
2026-01-17 23:00:00,108.15036,110.895386,115.496346
2026-01-18 00:00:00,105.32193,107.69945,108.47751
2026-01-18 01:00:00,105.32193,106.9257,108.02378
2026-01-18 02:00:00,105.32193,106.738235,107.172874
2026-01-18 03:00:00,103.31193,104.83348,106.613716
2026-01-18 04:00:00,101.85793,104.8,106.048805
2026-01-18 05:00:00,103.31193,104.233444,105.74588
2026-01-18 06:00:00,97.72193,103.9981,105.19914
2026-01-18 07:00:00,97.72193,103.889915,105.260445
2026-01-18 08:00:00,97.72193,104.96795,105.32271
2026-01-18 09:00:00,97.72193,105.251335,105.29727
2026-01-18 10:00:00,97.72193,106.53943,105.91307
2026-01-18 11:00:00,97.72193,106.263145,106.57693
2026-01-18 12:00:00,97.72193,105.815056,107.607574
2026-01-18 13:00:00,97.72193,105.31575,108.15087
2026-01-18 14:00:00,97.72193,106.94507,107.624504
2026-01-18 15:00:00,97.72193,107.40264,107.3818
2026-01-18 16:00:00,105.32193,108.49192,107.53113
2026-01-18 17:00:00,113.32193,109.01192,107.943504
2026-01-18 18:00:00,166.32193,108.90766,109.06273
2026-01-18 19:00:00,171.32193,110.8309,110.70049
2026-01-18 20:00:00,171.32193,109.73236,111.91129
2026-01-18 21:00:00,166.32193,109.802666,112.23454
2026-01-18 22:00:00,166.32193,109.29902,111.00043
2026-01-18 23:00:00,113.32193,109.57234,109.75332
2026-01-19 00:00:00,111.91666,113.359634,115.50916
2026-01-19 01:00:00,107.91666,111.33836,113.70094
2026-01-19 02:00:00,105.90666,109.2149,111.67909
2026-01-19 03:00:00,107.91666,110.62978,111.27203
2026-01-19 04:00:00,107.91666,111.1134,112.31933
2026-01-19 05:00:00,111.91666,112.77029,113.89398
2026-01-19 06:00:00,149.91666,108.96082,115.31759
2026-01-19 07:00:00,149.91666,110.416046,117.83444
2026-01-19 08:00:00,149.91666,109.21182,120.90416
2026-01-19 09:00:00,111.91666,111.8333,125.34949
2026-01-19 10:00:00,149.91666,115.02535,130.89835
2026-01-19 11:00:00,149.91666,117.70346,135.77904
2026-01-19 12:00:00,149.91666,118.49829,140.47305
2026-01-19 13:00:00,149.91666,121.4692,144.10936
2026-01-19 14:00:00,149.91666,125.001396,146.8282
2026-01-19 15:00:00,158.91666,125.55012,148.39629
2026-01-19 16:00:00,173.91666,135.38179,149.38872
2026-01-19 17:00:00,178.91666,138.42375,151.458
2026-01-19 18:00:00,178.91666,141.62852,155.82434
2026-01-19 19:00:00,178.91666,150.06107,166.64024
2026-01-19 20:00:00,178.91666,152.42445,183.564
2026-01-19 21:00:00,178.91666,149.07158,176.5575
2026-01-19 22:00:00,178.91666,134.15599,147.79309
2026-01-19 23:00:00,173.91666,118.24979,130.90703
2026-01-20 00:00:00,174.33117,164.65764,169.47392
2026-01-20 01:00:00,174.33117,152.1817,165.80023
2026-01-20 02:00:00,174.33117,148.79993,164.46239
2026-01-20 03:00:00,174.33117,151.06364,164.43362
2026-01-20 04:00:00,174.33117,156.3742,165.57393
2026-01-20 05:00:00,176.23117,162.54044,167.54366
2026-01-20 06:00:00,176.33117,165.9677,169.85173
2026-01-20 07:00:00,176.23117,168.8683,170.79915
2026-01-20 08:00:00,174.33117,170.59154,170.9879
2026-01-20 09:00:00,174.33117,167.50789,172.43468
2026-01-20 10:00:00,174.33117,168.62086,173.98167
2026-01-20 11:00:00,174.33117,171.4997,176.43048
2026-01-20 12:00:00,174.33117,172.05185,178.45973
2026-01-20 13:00:00,176.23117,174.38538,180.1964
2026-01-20 14:00:00,176.33117,175.02176,181.77536
