ds,y,NHITS,ventana,semilla
2026-01-20 13:00:00,176.23117,177.75389,1a,42
2026-01-20 14:00:00,176.33117,180.27895,1a,42
2026-01-20 15:00:00,176.33117,194.43109,1a,42
2026-01-20 16:00:00,176.33117,211.83241,1a,42
2026-01-20 17:00:00,178.33117,213.53839,1a,42
2026-01-20 18:00:00,181.33117,218.82413,1a,42
2026-01-20 19:00:00,191.33117,255.19934,1a,42
2026-01-20 20:00:00,181.33117,292.15472,1a,42
2026-01-20 21:00:00,181.33117,234.08789,1a,42
2026-01-20 22:00:00,178.33117,178.9872,1a,42
2026-01-20 23:00:00,176.33117,170.95728,1a,42
2026-01-21 00:00:00,175.89024,169.74197,1a,42
2026-01-21 01:00:00,175.89024,162.68704,1a,42
2026-01-21 02:00:00,175.89024,164.86615,1a,42
2026-01-21 03:00:00,175.89024,163.68881,1a,42
2026-01-21 04:00:00,175.89024,163.1493,1a,42
2026-01-21 05:00:00,175.89024,166.06303,1a,42
2026-01-21 06:00:00,177.89024,166.03746,1a,42
2026-01-21 07:00:00,175.89024,165.29243,1a,42
2026-01-21 08:00:00,175.89024,168.0964,1a,42
2026-01-21 09:00:00,175.89024,167.81912,1a,42
2026-01-21 10:00:00,175.89024,168.98315,1a,42
2026-01-21 11:00:00,175.89024,167.81941,1a,42
2026-01-21 12:00:00,175.89024,166.60104,1a,42
2026-01-21 13:00:00,175.89024,165.70451,1a,42
2026-01-21 14:00:00,175.89024,165.23949,1a,42
2026-01-21 15:00:00,177.89024,168.39854,1a,42
2026-01-21 16:00:00,188.09024,172.85446,1a,42
