fecha_hora,real,v4 (referencia),v1 (NNLS global),Persistencia,nivel v4 + forma persistencia,nivel v4 + forma v1,nivel v4 + forma ajustada (pesos suman 1),nivel v4 + forma ajustada (escala libre)
2026-04-12 22:00:00,338.96721,301.0511736733657,308.9937509622778,280.47077,284.5017011091432,303.0711302413349,299.97877639682395,300.7143752565849
2026-04-12 23:00:00,308.96721,294.4193927055294,297.4155056789477,280.47077,284.5017011091432,291.4928849580048,294.3120533810899,294.97885781801176
2026-04-13 00:00:00,298.56081,294.89490402302295,296.3780042346324,281.96721,285.9981411091432,290.4553835136895,296.1384512031237,296.8196309897055
2026-04-13 01:00:00,298.56081,301.6256760198868,296.9277831078653,278.96721,326.133590250313,291.02493379075736,303.16847234521504,302.42692835687035
2026-04-13 02:00:00,284.56081,303.53630618828606,298.97592597521844,278.96721,326.133590250313,293.0730766581105,304.8235958613205,304.0726933164308
2026-04-13 03:00:00,284.56081,304.883804545958,299.5017073005297,277.96721,325.133590250313,293.59885798342174,305.6491876720114,304.92169489047336
2026-04-13 04:00:00,284.56081,310.97446584779254,305.2707440877016,277.96721,325.133590250313,299.36789477059364,310.87039181963064,310.1997816836823
2026-04-13 05:00:00,304.56081,318.64641182022444,308.9138718858255,277.96721,325.133590250313,303.0110225687175,316.203719857559,315.5882413879858
2026-04-13 06:00:00,304.56081,294.5906171845837,304.9976163411751,277.96721,325.133590250313,299.09476702406715,300.14665501890755,299.68266554909604
2026-04-13 07:00:00,298.56081,289.51171862110243,291.2901578898502,200.46721,247.63359025031295,285.38730857274226,282.39320631933225,281.3407931377644
2026-04-13 08:00:00,304.56081,289.77964226437393,292.1629310899783,200.46721,247.63359025031295,286.26008177287036,282.2541610439132,281.1832413072124
2026-04-13 09:00:00,304.56081,289.2514380331705,291.26292962637046,200.46721,247.63359025031295,285.3600803092625,281.8110037573247,280.6964022846104
2026-04-13 10:00:00,304.56081,294.8132309427877,295.8967427515143,200.46721,247.63359025031295,289.99389343440635,286.3986697972867,285.26570065225764
2026-04-13 11:00:00,304.56081,304.04689268167897,308.7775579702844,242.43621,289.6025902503129,302.87470865317647,301.37225265500314,300.5632536223424
2026-04-13 12:00:00,304.56081,305.11731082217256,315.68792103279566,277.96721,325.133590250313,309.7850717156877,308.3318422568969,307.6352908503544
2026-04-13 13:00:00,314.56081,309.7683559626752,323.2108483676119,277.96721,325.133590250313,317.30799905050395,313.73574558999303,313.28301888072417
2026-04-13 14:00:00,330.56081,309.1365736400594,324.4034170077195,277.96721,325.133590250313,318.50056769061155,314.5943813448108,314.41621221446763
2026-04-13 15:00:00,333.56081,316.97762919620715,336.9983022386942,278.96721,326.133590250313,331.09545292158623,323.12630080330274,323.0804263774738
2026-04-13 16:00:00,345.06081,326.55248019811705,348.9067177452762,281.96721,329.133590250313,343.00386842816823,332.7923612153339,332.98704168180984
2026-04-13 17:00:00,345.06081,355.9218817117951,375.3685482848719,308.96721,356.133590250313,369.46569896776396,359.6034913269919,359.8260825530338
2026-04-13 18:00:00,1081.59481,443.3450924678267,471.6626242212489,353.46721,400.633590250313,465.75977490414095,441.08866496075643,441.74697555523557
2026-04-13 19:00:00,1081.59481,464.7024346952818,502.57571864513983,353.76721,400.93359025031293,496.6728693280319,460.8866733753526,461.55871791826354
2026-04-13 20:00:00,459.56081,419.3701976781147,426.29934751490623,353.76721,400.93359025031293,420.3964981977983,417.26264612831574,418.43486880745337
2026-04-13 21:00:00,330.56081,374.7340551559657,368.8102262281831,353.76721,400.93359025031293,362.9073769110752,377.57770463657556,378.3882361099334
2026-04-13 22:00:00,314.56081,342.3433618448601,335.45668597313,338.96721,386.133590250313,329.55383665602204,346.01506877234243,345.85709702215183
2026-04-13 23:00:00,314.56081,321.7702149292676,319.1020416870239,308.96721,356.133590250313,313.199192369916,323.9394078020946,323.23077632430255
2026-04-14 00:00:00,335.71938,319.7689735553232,310.37678264518746,298.56081,345.72719025031296,304.4739333280795,322.97425717733336,321.7627722990799
2026-04-14 01:00:00,323.71938,338.8718719872968,329.19804492768657,298.56081,323.2198820286319,325.5176890520299,336.0162469367284,334.2538001248787
2026-04-14 02:00:00,323.71938,336.6305471873343,323.3772817821723,284.56081,309.2198820286319,319.6969259065156,331.2845472753528,329.61296375242324
2026-04-14 03:00:00,323.71938,331.69274117634785,320.7740576861761,284.56081,309.2198820286319,317.0937018105194,327.36116897098333,325.3200277852277
2026-04-14 04:00:00,323.71938,339.7398786626068,326.8017956257094,284.56081,309.2198820286319,323.12143975005273,333.54468161045065,331.7352771064259
2026-04-14 05:00:00,328.71938,346.2227205212,338.4964385400027,304.56081,329.2198820286319,334.816082664346,343.13341611802133,341.76978571736237
2026-04-14 06:00:00,328.71938,327.92792357855075,335.6420519307302,304.56081,329.2198820286319,331.9616960550735,331.39847627929237,330.7018224356071
2026-04-14 07:00:00,323.71938,325.0982699212965,333.10764063439274,298.56081,323.2198820286319,329.42728475873605,328.0026149891996,327.15612138072134
2026-04-14 08:00:00,323.71938,325.66264824667127,334.3461546532212,304.56081,329.2198820286319,330.66579877756453,329.9887379296973,329.8033534227904
2026-04-14 09:00:00,323.71938,331.35314205798375,336.8116802665687,304.56081,329.2198820286319,333.131324390912,333.25808560245963,332.49846476332135
2026-04-14 10:00:00,323.71938,345.27445811204547,346.7770903121764,304.56081,329.2198820286319,343.09673443651974,342.94839969783123,341.6957929359314
2026-04-14 11:00:00,328.71938,342.4053523524658,343.6034663428956,304.56081,329.2198820286319,339.9231104672389,340.41798356133165,339.0174299664586
2026-04-14 12:00:00,328.71938,323.7269626857711,340.29248842977825,304.56081,329.2198820286319,336.61213255412156,327.314848489518,325.6092880206039
2026-04-14 13:00:00,328.71938,340.317208945919,358.6989670447356,314.56081,339.2198820286319,355.0186111690789,342.52587776957813,341.1981623269768
2026-04-14 14:00:00,335.71938,358.4142489870351,375.4477302569341,330.56081,355.2198820286319,371.7673743812774,360.74157559909173,360.6562354032291
2026-04-14 15:00:00,335.71938,378.5356739005807,397.7959453582554,333.56081,358.2198820286319,394.1155894825987,377.85629888248786,378.25523824988693
2026-04-14 16:00:00,378.71938,396.50883723533536,415.0560769453516,345.06081,369.7198820286319,411.3757210696949,396.22573483397707,399.40025364555686
2026-04-14 17:00:00,378.71938,481.6792083563612,514.4413463879149,345.06081,369.7198820286319,510.7609905122582,465.91573405281287,470.4365218771113
2026-04-14 18:00:00,1150.80138,941.1951650874098,912.6231998148038,1081.59481,1106.253882028632,908.9428439391471,949.5842043971246,949.9912822479293
2026-04-14 19:00:00,1150.74838,942.2473344724316,913.5524677316772,1081.59481,1106.253882028632,909.8721118560205,950.7635272034427,952.3049909693322
2026-04-14 20:00:00,563.71938,523.0259462660805,542.6175722893072,459.56081,484.2198820286319,538.9372164136505,517.4955928122122,521.4959611835463
2026-04-14 21:00:00,378.71938,370.2159450855832,383.24513260482126,330.56081,355.2198820286319,379.5647767291646,369.83714050473253,370.43467644594665
2026-04-14 22:00:00,335.71938,338.98807130912144,346.67405470536414,314.56081,339.2198820286319,342.99369882970745,340.95980454498203,340.56373902431494
2026-04-14 23:00:00,335.71938,338.3300259732044,341.05946541435685,314.56081,339.2198820286319,337.37910953870016,340.8423313501929,341.2016028179992
2026-04-15 00:00:00,330.20876,337.43955657853104,339.3921300178925,335.71938,360.3784520286319,335.7117741422358,342.84246745116576,341.3905924186686
2026-04-15 01:00:00,327.40876,332.73002793623505,331.6641884747752,323.71938,313.3417722394742,327.34669318289224,332.035724855332,331.9776496138304
2026-04-15 02:00:00,340.40876,330.00546074697024,327.9761239924542,323.71938,313.3417722394742,323.6586287005712,329.4154814131125,329.34432556196947
2026-04-15 03:00:00,330.20876,325.23038778317584,325.4413149870518,323.71938,313.3417722394742,321.12381969516883,325.77800729852186,325.92376558070686
2026-04-15 04:00:00,355.40876,332.7621626328187,328.46129356356573,323.71938,313.3417722394742,324.1437982716828,331.2753760365179,330.9441457560929
2026-04-15 05:00:00,355.40876,337.87945561846897,338.00711068552187,328.71938,318.3417722394742,333.6896153936389,336.86947390208445,337.1409801807646
2026-04-15 06:00:00,355.40876,319.0536927598488,331.39971107922923,328.71938,318.3417722394742,327.0822157873463,324.2371966899577,323.6643800479958
2026-04-15 07:00:00,355.40876,315.84262416739347,328.1489298263096,323.71938,313.3417722394742,323.83143453442665,321.28740615121797,320.20497114022606
2026-04-15 08:00:00,355.40876,314.38068905922887,326.9213075330989,323.71938,313.3417722394742,322.60381224121596,319.9728039863686,318.90962926390944
2026-04-15 09:00:00,355.40876,321.4961663751657,331.2744368049917,323.71938,313.3417722394742,326.95694151310875,325.05261178784014,324.6257960471629
2026-04-15 10:00:00,355.40876,333.42652600175546,341.18529311687104,323.71938,313.3417722394742,336.8677978249881,334.6462091060681,334.2863338031227
2026-04-15 11:00:00,355.40876,327.19418265969347,336.2064919668184,328.71938,318.3417722394742,331.88899667493547,330.2047564561364,329.8283849521249
2026-04-15 12:00:00,340.40876,323.35102252912407,338.9997907611705,328.71938,318.3417722394742,334.68229546928757,328.23331098658315,328.6184831307063
2026-04-15 13:00:00,355.40876,331.0243042705991,346.6914929459005,328.71938,318.3417722394742,342.37399765401756,335.15745933734945,334.90678069420363
2026-04-15 14:00:00,355.40876,347.1121952183352,361.60326039182814,335.71938,325.3417722394742,357.2857650999452,349.2965877914567,348.654349175511
2026-04-15 15:00:00,355.40876,371.5088167460145,387.6755236269152,335.71938,325.3417722394742,383.35802833503226,370.3270332306615,369.35246537597925
