fecha_hora,real,GBM cuadratica,GBM absoluta (MAE),GBM MCC,LEAR (LASSO),LEAR MCC
2026-04-26 00:00:00,258.12799,227.0435487645551,253.71319452845376,252.13457658901513,251.98038704549913,250.76140206105393
2026-04-26 01:00:00,257.12799,250.66877430016842,256.128858382814,259.6621646835653,268.37108375510036,254.59498122490783
2026-04-26 02:00:00,250.42799,251.97330045745247,254.65749935704972,254.8461178169605,262.87432949232425,253.0134752941845
2026-04-26 03:00:00,238.12799,250.6085390490398,259.00433840648685,259.0938386380871,254.89715083668642,251.33225658878004
2026-04-26 04:00:00,238.12799,252.35117797664273,249.4789239956862,259.88713308634226,263.73980630742227,253.04096502916605
2026-04-26 05:00:00,238.12799,252.284844537387,261.742781171186,261.26465616304705,265.59907839797273,254.2657980178389
2026-04-26 06:00:00,238.12799,228.26070516277937,243.8384216937334,253.41178774212622,246.77920783072884,254.6198639608845
2026-04-26 07:00:00,227.12799,215.80856386255482,226.17094482553628,254.40881569357353,251.03980914019223,252.69690841535584
2026-04-26 08:00:00,227.12799,211.04036035248913,251.25209963348638,241.0879826072058,248.79434587626298,253.57691575959035
2026-04-26 09:00:00,227.12799,220.89154308012974,244.3834649046638,252.0456966365286,249.85266443612392,253.99223888099598
2026-04-26 10:00:00,227.12799,204.67727547054332,225.65734875272312,251.35547167101416,241.06385456638827,256.5507026023989
2026-04-26 11:00:00,227.12799,234.88778174196426,230.41846769067752,270.11701534635415,236.40351191731008,257.4579715339145
2026-04-26 12:00:00,227.12799,235.90241056887174,248.74605814633722,256.03938765427006,246.1254273545778,261.1623620027365
2026-04-26 13:00:00,238.12799,239.17952017896368,241.11699036993983,246.35415617716987,249.77418417141183,258.44686660371696
2026-04-26 14:00:00,238.12799,257.371589312754,259.320072753456,268.54076863415673,251.92258213966795,263.11993655933986
2026-04-26 15:00:00,257.12799,268.75925486021885,268.5930451613958,279.06090887562,264.4035762028354,272.7529701634514
2026-04-26 16:00:00,258.33999,285.79995986705245,269.26000894343406,283.1617977898302,274.7830040303577,281.1512775670484
2026-04-26 17:00:00,268.12799,298.5012031460148,273.6860239035851,279.0372038177057,301.2137125220487,289.91991298236263
