ds,y,NBEATSx,ventana,semilla
2026-01-17 08:00:00,100.55036,113.91519,1a,42
2026-01-17 09:00:00,100.55036,114.09345,1a,42
2026-01-17 10:00:00,100.55036,116.260185,1a,42
2026-01-17 11:00:00,100.55036,116.613884,1a,42
2026-01-17 12:00:00,100.55036,105.37372,1a,42
2026-01-17 13:00:00,100.55036,107.949524,1a,42
2026-01-17 14:00:00,100.55036,113.499245,1a,42
2026-01-17 15:00:00,100.55036,116.10136,1a,42
2026-01-17 16:00:00,108.15036,120.2472,1a,42
2026-01-17 17:00:00,114.15036,133.14001,1a,42
2026-01-17 18:00:00,126.15036,139.67657,1a,42
2026-01-17 19:00:00,126.15036,135.4038,1a,42
2026-01-17 20:00:00,126.15036,142.89906,1a,42
2026-01-17 21:00:00,126.15036,139.99728,1a,42
2026-01-17 22:00:00,126.15036,136.0626,1a,42
2026-01-17 23:00:00,108.15036,134.30849,1a,42
2026-01-18 00:00:00,105.32193,108.684555,1a,42
2026-01-18 01:00:00,105.32193,109.61193,1a,42
2026-01-18 02:00:00,105.32193,110.18495,1a,42
2026-01-18 03:00:00,103.31193,107.90838,1a,42
2026-01-18 04:00:00,101.85793,108.85804,1a,42
2026-01-18 05:00:00,103.31193,107.83538,1a,42
2026-01-18 06:00:00,97.72193,104.69779,1a,42
2026-01-18 07:00:00,97.72193,103.49917,1a,42
2026-01-18 08:00:00,97.72193,101.97238,1a,42
2026-01-18 09:00:00,97.72193,101.96971,1a,42
2026-01-18 10:00:00,97.72193,103.65866,1a,42
2026-01-18 11:00:00,97.72193,101.97315,1a,42
2026-01-18 12:00:00,97.72193,105.87076,1a,42
2026-01-18 13:00:00,97.72193,105.56819,1a,42
2026-01-18 14:00:00,97.72193,110.22035,1a,42
2026-01-18 15:00:00,97.72193,110.896774,1a,42
2026-01-18 16:00:00,105.32193,112.02098,1a,42
2026-01-18 17:00:00,113.32193,112.59118,1a,42
2026-01-18 18:00:00,166.32193,112.243484,1a,42
2026-01-18 19:00:00,171.32193,113.93318,1a,42
2026-01-18 20:00:00,171.32193,115.386765,1a,42
2026-01-18 21:00:00,166.32193,116.6837,1a,42
2026-01-18 22:00:00,166.32193,116.68918,1a,42
2026-01-18 23:00:00,113.32193,111.4102,1a,42
2026-01-19 00:00:00,111.91666,113.693436,1a,42
2026-01-19 01:00:00,107.91666,113.40834,1a,42
2026-01-19 02:00:00,105.90666,125.88242,1a,42
2026-01-19 03:00:00,107.91666,129.61273,1a,42
2026-01-19 04:00:00,107.91666,143.367,1a,42
2026-01-19 05:00:00,111.91666,156.7092,1a,42
2026-01-19 06:00:00,149.91666,159.6798,1a,42
2026-01-19 07:00:00,149.91666,165.29932,1a,42
2026-01-19 08:00:00,149.91666,170.03339,1a,42
2026-01-19 09:00:00,111.91666,171.43398,1a,42
2026-01-19 10:00:00,149.91666,165.22406,1a,42
2026-01-19 11:00:00,149.91666,155.7931,1a,42
2026-01-19 12:00:00,149.91666,166.99525,1a,42
2026-01-19 13:00:00,149.91666,165.4055,1a,42
2026-01-19 14:00:00,149.91666,195.48413,1a,42
2026-01-19 15:00:00,158.91666,226.14407,1a,42
2026-01-19 16:00:00,173.91666,214.97157,1a,42
2026-01-19 17:00:00,178.91666,209.8819,1a,42
2026-01-19 18:00:00,178.91666,229.81015,1a,42
2026-01-19 19:00:00,178.91666,216.56412,1a,42
2026-01-19 20:00:00,178.91666,192.01843,1a,42
2026-01-19 21:00:00,178.91666,199.06754,1a,42
2026-01-19 22:00:00,178.91666,181.71548,1a,42
2026-01-19 23:00:00,173.91666,164.19557,1a,42
