origen,fecha_hora,real,modelo,prediccion
Origen 1,2020-07-11 01:00:00,100.7728,Persistencia,116.34967
Origen 1,2020-07-11 02:00:00,100.7728,Persistencia,99.24967
Origen 1,2020-07-11 03:00:00,100.7728,Persistencia,116.34967
Origen 1,2020-07-11 04:00:00,100.7728,Persistencia,116.34967
Origen 1,2020-07-11 05:00:00,100.7728,Persistencia,99.24967
Origen 1,2020-07-11 06:00:00,100.7728,Persistencia,111.34967
Origen 1,2020-07-11 07:00:00,100.7728,Persistencia,116.34967
Origen 1,2020-07-11 08:00:00,119.2728,Persistencia,181.34967
Origen 1,2020-07-11 09:00:00,119.2728,Persistencia,181.34967
Origen 1,2020-07-11 10:00:00,179.7728,Persistencia,181.34967
Origen 1,2020-07-11 11:00:00,179.7728,Persistencia,191.24967
Origen 1,2020-07-11 12:00:00,190.6728,Persistencia,191.24967
Origen 1,2020-07-11 13:00:00,179.7728,Persistencia,181.34967
Origen 1,2020-07-11 14:00:00,179.7728,Persistencia,191.24967
Origen 1,2020-07-11 15:00:00,119.2728,Persistencia,191.24967
Origen 1,2020-07-11 16:00:00,119.2728,Persistencia,181.34967
Origen 1,2020-07-11 17:00:00,119.2728,Persistencia,121.34967
Origen 1,2020-07-11 18:00:00,179.7728,Persistencia,181.34967
Origen 1,2020-07-11 19:00:00,180.7728,Persistencia,181.34967
Origen 1,2020-07-11 20:00:00,179.7728,Persistencia,181.34967
Origen 1,2020-07-11 21:00:00,119.2728,Persistencia,181.34967
Origen 1,2020-07-11 22:00:00,109.7728,Persistencia,121.34967
Origen 1,2020-07-11 23:00:00,100.7728,Persistencia,116.34967
Origen 1,2020-07-12 00:00:00,103.38642,Persistencia,100.7728
Origen 1,2020-07-12 01:00:00,103.38642,Persistencia,100.7728
Origen 1,2020-07-12 02:00:00,103.38642,Persistencia,100.7728
Origen 1,2020-07-12 03:00:00,103.38642,Persistencia,100.7728
Origen 1,2020-07-12 04:00:00,103.38642,Persistencia,100.7728
Origen 1,2020-07-12 05:00:00,103.38642,Persistencia,100.7728
Origen 1,2020-07-12 06:00:00,103.38642,Persistencia,100.7728
Origen 1,2020-07-12 07:00:00,103.38642,Persistencia,100.7728
Origen 1,2020-07-12 08:00:00,103.88642,Persistencia,119.2728
Origen 1,2020-07-12 09:00:00,103.88642,Persistencia,119.2728
Origen 1,2020-07-12 10:00:00,103.88642,Persistencia,179.7728
Origen 1,2020-07-12 11:00:00,107.88642,Persistencia,179.7728
Origen 1,2020-07-12 12:00:00,107.88642,Persistencia,190.6728
Origen 1,2020-07-12 13:00:00,107.88642,Persistencia,179.7728
Origen 1,2020-07-12 14:00:00,107.88642,Persistencia,179.7728
Origen 1,2020-07-12 15:00:00,107.88642,Persistencia,119.2728
Origen 1,2020-07-12 16:00:00,103.88642,Persistencia,119.2728
Origen 1,2020-07-12 17:00:00,103.88642,Persistencia,119.2728
Origen 1,2020-07-12 18:00:00,181.88642,Persistencia,179.7728
Origen 1,2020-07-12 19:00:00,182.88642,Persistencia,180.7728
Origen 1,2020-07-12 20:00:00,182.88642,Persistencia,179.7728
Origen 1,2020-07-12 21:00:00,181.88642,Persistencia,119.2728
Origen 1,2020-07-12 22:00:00,123.88642,Persistencia,109.7728
Origen 1,2020-07-12 23:00:00,103.88642,Persistencia,100.7728
Origen 1,2020-07-13 00:00:00,86.96146,Persistencia,103.38642
Origen 1,2020-07-13 01:00:00,105.22646,Persistencia,103.38642
Origen 1,2020-07-13 02:00:00,105.22646,Persistencia,103.38642
Origen 1,2020-07-13 03:00:00,105.22646,Persistencia,103.38642
Origen 1,2020-07-13 04:00:00,101.72646,Persistencia,103.38642
Origen 1,2020-07-13 05:00:00,101.72646,Persistencia,103.38642
Origen 1,2020-07-13 06:00:00,101.72646,Persistencia,103.38642
Origen 1,2020-07-13 07:00:00,105.22646,Persistencia,103.38642
Origen 1,2020-07-13 08:00:00,105.72646,Persistencia,103.88642
Origen 1,2020-07-13 09:00:00,161.72646,Persistencia,103.88642
Origen 1,2020-07-13 10:00:00,176.62646,Persistencia,103.88642
Origen 1,2020-07-13 11:00:00,176.62646,Persistencia,107.88642
Origen 1,2020-07-13 12:00:00,176.62646,Persistencia,107.88642
Origen 1,2020-07-13 13:00:00,176.62646,Persistencia,107.88642
Origen 1,2020-07-13 14:00:00,176.62646,Persistencia,107.88642
Origen 1,2020-07-13 15:00:00,176.62646,Persistencia,107.88642
Origen 1,2020-07-13 16:00:00,176.62646,Persistencia,103.88642
Origen 1,2020-07-13 17:00:00,176.62646,Persistencia,103.88642
Origen 1,2020-07-13 18:00:00,176.62646,Persistencia,181.88642
Origen 1,2020-07-13 19:00:00,176.62646,Persistencia,182.88642
Origen 1,2020-07-13 20:00:00,176.62646,Persistencia,182.88642
