fecha,valor
2020-07-11,9395785100.0
2020-07-12,9467431600.0
2020-07-13,9523162000.0
2020-07-14,9595581700.0
2020-07-15,9609997900.0
2020-07-16,9637895900.0
2020-07-17,9655784800.0
2020-07-18,9652752600.0
2020-07-19,9666150400.0
2020-07-20,9677676700.0
2020-07-21,9699986500.0
2020-07-22,9730548500.0
2020-07-23,9758605400.0
2020-07-24,9875229600.0
2020-07-25,10148018800.0
2020-07-26,10282287600.0
2020-07-27,10441172500.0
2020-07-28,10521784000.0
2020-07-29,10542487800.0
2020-07-30,10591791200.0
2020-07-31,10610971400.0
2020-08-01,10619792700.0
2020-08-02,10611107300.0
2020-08-03,10572002800.0
2020-08-04,10527222900.0
2020-08-05,10485021400.0
2020-08-06,10453632500.0
2020-08-07,10428933300.0
2020-08-08,10473416000.0
2020-08-09,10466917700.0
2020-08-10,10435732100.0
2020-08-11,10417421500.0
2020-08-12,10410268000.0
2020-08-13,10457338200.0
2020-08-14,10519057700.0
2020-08-15,10567812200.0
2020-08-16,10615492100.0
2020-08-17,10676786700.0
2020-08-18,10659681700.0
2020-08-19,10653620500.0
2020-08-20,10731452000.0
2020-08-21,10780382300.0
2020-08-22,10893042100.0
2020-08-23,10968993600.0
2020-08-24,10999148400.0
2020-08-25,11049504800.0
2020-08-26,11070392300.0
2020-08-27,11051095600.0
2020-08-28,11063099700.0
2020-08-29,11032324200.0
2020-08-30,11036957600.0
2020-08-31,10993123700.0
2020-09-01,10988001600.0
2020-09-02,10992596600.0
2020-09-03,10986997200.0
2020-09-04,11041239800.0
2020-09-05,11089497300.0
2020-09-06,11150445900.0
2020-09-07,11164712400.0
2020-09-08,11319384300.0
2020-09-09,11325924700.0
2020-09-10,11325519200.0
2020-09-11,11316067400.0
2020-09-12,11343237600.0
2020-09-13,11363712400.0
2020-09-14,11356755000.0
2020-09-15,11338782400.0
2020-09-16,11344249900.0
2020-09-17,11336418700.0
2020-09-18,11385412700.0
2020-09-19,11446226500.0
2020-09-20,11515951700.0
2020-09-21,11566625300.0
2020-09-22,11598489900.0
2020-09-23,11631312800.0
2020-09-24,11650265300.0
2020-09-25,11662544500.0
2020-09-26,11676977700.0
2020-09-27,11717973000.0
2020-09-28,11701275400.0
2020-09-29,11676774000.0
2020-09-30,11696674200.0
2020-10-01,11684803600.0
2020-10-02,11685143100.0
