fecha,valor
2019-09-18,134994700.0
2019-09-19,157191800.0
2019-09-20,143569700.0
2019-09-21,172040000.0
2019-09-22,139209300.0
2019-09-23,177902200.0
2019-09-24,118885000.0
2019-09-25,149067100.0
2019-09-26,165258300.0
2019-09-27,101324500.0
2019-09-28,110206800.0
2019-09-29,135755200.0
2019-09-30,124942100.0
2019-10-01,145151500.0
2019-10-02,129060400.0
2019-10-03,244505600.0
2019-10-04,133646900.0
2019-10-05,133793600.0
2019-10-06,125556600.0
2019-10-07,144485200.0
2019-10-08,133320700.0
2019-10-09,115142400.0
2019-10-10,134788700.0
2019-10-11,152220600.0
2019-10-12,193558000.0
2019-10-13,240918000.0
2019-10-14,166105200.0
2019-10-15,123777700.0
2019-10-16,116825200.0
2019-10-17,140781200.0
2019-10-18,149544500.0
2019-10-19,205002600.0
2019-10-20,193702300.0
2019-10-21,187698800.0
2019-10-22,165728600.0
2019-10-23,209217400.0
2019-10-24,219384000.0
2019-10-25,188505200.0
2019-10-26,201078700.0
2019-10-27,208200100.0
2019-10-28,151915300.0
2019-10-29,162299500.0
2019-10-30,214711700.0
2019-10-31,144005000.0
2019-11-01,127352200.0
2019-11-02,136855200.0
2019-11-03,128405200.0
2019-11-04,136596000.0
2019-11-05,139377500.0
2019-11-06,121318700.0
2019-11-07,108403300.0
2019-11-08,107984300.0
2019-11-09,158956700.0
2019-11-10,121045300.0
2019-11-11,188187800.0
2019-11-12,223310200.0
2019-11-13,257022300.0
2019-11-14,215021100.0
2019-11-15,205038500.0
2019-11-16,176881300.0
2019-11-17,152259900.0
2019-11-18,147570100.0
2019-11-19,149836600.0
2019-11-20,172890300.0
2019-11-21,143387100.0
2019-11-22,164901400.0
2019-11-23,165669100.0
2019-11-24,140567800.0
2019-11-25,117887300.0
2019-11-26,113673600.0
2019-11-27,127120200.0
2019-11-28,130444500.0
2019-11-29,121316300.0
2019-11-30,119922800.0
2019-12-01,135369100.0
2019-12-02,111323800.0
2019-12-03,103056100.0
2019-12-04,96976500.0
2019-12-05,107206000.0
2019-12-06,96732400.0
2019-12-07,103591700.0
2019-12-08,104983100.0
2019-12-09,96900900.0
2019-12-10,92846100.0
2019-12-11,94893400.0
2019-12-12,95946200.0
2019-12-13,109395000.0
2019-12-14,142325800.0
2019-12-15,165291500.0
2019-12-16,104956100.0
2019-12-17,99962000.0
2019-12-18,104246000.0
2019-12-19,98450400.0
2019-12-20,129027600.0
2019-12-21,111089600.0
2019-12-22,112768800.0
2019-12-23,102009100.0
2019-12-24,93062800.0
2019-12-25,114902800.0
2019-12-26,138478200.0
2019-12-27,100303900.0
2019-12-28,80942900.0
2019-12-29,78816500.0
2019-12-30,110690400.0
2019-12-31,167617400.0
2020-01-01,132649500.0
2020-01-02,111878500.0
2020-01-03,92009200.0
2020-01-04,80894600.0
2020-01-05,71377000.0
2020-01-06,69214800.0
2020-01-07,62855700.0
2020-01-08,62094000.0
2020-01-09,58098600.0
2020-01-10,57561800.0
2020-01-11,57982900.0
2020-01-12,58500100.0
2020-01-13,54373000.0
2020-01-14,54069500.0
2020-01-15,54008500.0
2020-01-16,56339500.0
2020-01-17,66309700.0
2020-01-18,64646600.0
2020-01-19,64290600.0
2020-01-20,72638900.0
2020-01-21,74891300.0
2020-01-22,77122500.0
2020-01-23,65708900.0
2020-01-24,69752600.0
2020-01-25,61762000.0
2020-01-26,77326200.0
2020-01-27,79654900.0
2020-01-28,68677400.0
2020-01-29,64348600.0
2020-01-30,60157900.0
2020-01-31,66447000.0
2020-02-01,56449200.0
2020-02-02,59766500.0
2020-02-03,60492300.0
2020-02-04,53239100.0
2020-02-05,50275400.0
2020-02-06,48794400.0
2020-02-07,49371700.0
2020-02-08,51933200.0
2020-02-09,56481700.0
2020-02-10,49618800.0
2020-02-11,47103500.0
2020-02-12,45247700.0
2020-02-13,45078800.0
2020-02-14,48736700.0
2020-02-15,65149300.0
2020-02-16,54108000.0
2020-02-17,61923200.0
2020-02-18,46704500.0
2020-02-19,49763800.0
2020-02-20,56057200.0
2020-02-21,65371800.0
2020-02-22,88429300.0
2020-02-23,98867900.0
2020-02-24,91944700.0
2020-02-25,92816600.0
2020-02-26,114023800.0
2020-02-27,88502900.0
2020-02-28,85253100.0
2020-02-29,70650200.0
2020-03-01,69965500.0
2020-03-02,72079200.0
2020-03-03,72556900.0
2020-03-04,67206800.0
2020-03-05,55022800.0
2020-03-06,55398600.0
2020-03-07,61448100.0
2020-03-08,55826700.0
2020-03-09,61974400.0
2020-03-10,71759100.0
2020-03-11,91419700.0
2020-03-12,73389500.0
2020-03-13,77272500.0
2020-03-14,130730400.0
2020-03-15,105923700.0
2020-03-16,98138800.0
2020-03-17,100693800.0
2020-03-18,83390900.0
2020-03-19,80726100.0
2020-03-20,74570000.0
2020-03-21,71060400.0
2020-03-22,61909500.0
2020-03-23,62376500.0
2020-03-24,61646800.0
2020-03-25,66803300.0
2020-03-26,67507500.0
2020-03-27,64579400.0
2020-03-28,75087500.0
2020-03-29,81801900.0
2020-03-30,85715400.0
2020-03-31,104548700.0
2020-04-01,162246400.0
2020-04-02,115710500.0
2020-04-03,89715500.0
2020-04-04,104183800.0
2020-04-05,87625700.0
2020-04-06,85804700.0
2020-04-07,142674700.0
2020-04-08,92465300.0
2020-04-09,106754000.0
2020-04-10,98353100.0
2020-04-11,172999700.0
2020-04-12,109072800.0
2020-04-13,93111100.0
2020-04-14,91614500.0
2020-04-15,89989000.0
2020-04-16,79462200.0
2020-04-17,86427200.0
2020-04-18,101490600.0
2020-04-19,93550600.0
2020-04-20,87617700.0
2020-04-21,106767400.0
2020-04-22,90664100.0
2020-04-23,144036800.0
2020-04-24,105831700.0
2020-04-25,77459700.0
2020-04-26,82921900.0
2020-04-27,80177500.0
2020-04-28,101709900.0
2020-04-29,81634500.0
2020-04-30,94790800.0
2020-05-01,161614800.0
2020-05-02,120038700.0
2020-05-03,141304600.0
2020-05-04,117404500.0
2020-05-05,122861400.0
2020-05-06,110058900.0
2020-05-07,200073200.0
2020-05-08,139381900.0
2020-05-09,122650900.0
2020-05-10,108717700.0
2020-05-11,111236700.0
2020-05-12,98076000.0
2020-05-13,138165700.0
2020-05-14,112522300.0
2020-05-15,99208400.0
2020-05-16,163609500.0
2020-05-17,127914000.0
2020-05-18,144442500.0
2020-05-19,182853700.0
2020-05-20,129052700.0
2020-05-21,101618700.0
2020-05-22,95886800.0
2020-05-23,97358300.0
2020-05-24,87730800.0
2020-05-25,110141600.0
2020-05-26,136242300.0
2020-05-27,181368800.0
2020-05-28,156679200.0
2020-05-29,132723900.0
2020-05-30,211840100.0
2020-05-31,184254400.0
2020-06-01,195499100.0
2020-06-02,141893400.0
2020-06-03,136733100.0
2020-06-04,161315400.0
2020-06-05,118738900.0
2020-06-06,223522300.0
2020-06-07,151585700.0
2020-06-08,116939900.0
2020-06-09,105445300.0
2020-06-10,147340100.0
2020-06-11,186841900.0
2020-06-12,241092700.0
2020-06-13,165061700.0
2020-06-14,188264800.0
2020-06-15,200847000.0
2020-06-16,153504300.0
2020-06-17,196235300.0
2020-06-18,166654800.0
2020-06-19,157623800.0
2020-06-20,271236000.0
2020-06-21,293802500.0
2020-06-22,257779700.0
2020-06-23,220743900.0
2020-06-24,161679100.0
2020-06-25,135619300.0
2020-06-26,201220600.0
2020-06-27,197981300.0
2020-06-28,242160400.0
2020-06-29,163236600.0
2020-06-30,155837500.0
2020-07-01,159927200.0
2020-07-02,311952700.0
2020-07-03,212281600.0
2020-07-04,399701100.0
2020-07-05,330616700.0
2020-07-06,251516500.0
2020-07-07,237438400.0
2020-07-08,226032900.0
2020-07-09,275689500.0
2020-07-10,199630200.0
2020-07-11,282182300.0
2020-07-12,198585800.0
2020-07-13,206378600.0
2020-07-14,229018900.0
2020-07-15,176770100.0
2020-07-16,187097300.0
2020-07-17,178017000.0
2020-07-18,145383100.0
2020-07-19,153098400.0
2020-07-20,150038700.0
2020-07-21,164908300.0
2020-07-22,176466100.0
2020-07-23,159552100.0
2020-07-24,253766400.0
2020-07-25,407014400.0
2020-07-26,252271800.0
2020-07-27,309736300.0
2020-07-28,222300000.0
2020-07-29,169806600.0
2020-07-30,213302100.0
2020-07-31,176868300.0
2020-08-01,150177500.0
2020-08-02,122096400.0
2020-08-03,120089800.0
2020-08-04,111076600.0
2020-08-05,117925200.0
2020-08-06,123565400.0
2020-08-07,117158000.0
2020-08-08,149550100.0
2020-08-09,133826000.0
2020-08-10,119314300.0
2020-08-11,121505200.0
2020-08-12,133148000.0
2020-08-13,176751800.0
2020-08-14,214971200.0
2020-08-15,181175800.0
2020-08-16,156361700.0
2020-08-17,183275200.0
2020-08-18,126728800.0
2020-08-19,137609700.0
2020-08-20,223453200.0
2020-08-21,197675500.0
