fecha_hora,precio_bolsa,demanda,generacion,volumen_embalses,aportes_hidricos,es_pandemia,oni,precio_lag24h,precio_lag168h,precio_media_24h,precio_media_7d,precio_media_30d,hora,hora_sin,hora_cos,dia_semana,dia_semana_sin,dia_semana_cos,dia_anio,dia_anio_sin,dia_anio_cos,volumen_embalses_delta_1d,volumen_embalses_delta_7d,volumen_embalses_media_7d,volumen_embalses_media_30d,volumen_embalses_vs_media30d,aportes_hidricos_delta_1d,aportes_hidricos_delta_7d,aportes_hidricos_media_7d,aportes_hidricos_media_30d,aportes_hidricos_vs_media30d,precio_std_24h,precio_std_7d,precio_rango_24h,ratio_volatilidad,demanda_lag24h,demanda_lag48h,demanda_lag72h,demanda_media_24h,es_festivo,festivo_lag24h,festivo_lag48h,festivo_lag72h,festivo_lag168h,mismatch_festivo_24h,mismatch_festivo_168h
2026-03-01 19:00:00,108.35261,10444727.8,10630603.23,12291430325.0,184072272.50541663,0,-0.1923387096774193,124.78235,117.00361,119.38300499999998,118.57955880952382,130.76225416666668,19,-0.9659258262890684,0.2588190451025203,6,-0.7818314824680299,0.6234898018587334,60,0.8584015232918917,0.512978386299228,-54698995.83333397,-147699862.5,12417921196.875,12673548545.300928,0.9698491532237347,-12343666.610000044,-29574141.824166685,242412734.30132937,229511064.28939348,0.8020191665937182,2.7976243718663545,5.689875775539314,8.0,0.49168461355400717,10979783.72,11651794.31,11721126.77,9867234.107916666,0,0,0,0,0,0,0
2026-03-01 20:00:00,108.35261,10351630.11,10556908.24,12289232800.0,183575789.28833333,0,-0.1919354838709677,122.28635,117.00361,119.42142458333332,118.58778154761904,130.57707524999998,20,-0.8660254037844386,0.5000000000000001,6,-0.7818314824680299,0.6234898018587334,60,0.8584015232918917,0.512978386299228,-54307316.66666603,-149776350.0,12417029670.982143,12672686653.402779,0.9697417079826702,-12258052.72999996,-30014925.71333337,242234074.02922615,229500158.71995836,0.7998939535041322,2.832134583801677,5.69425291197264,8.0,0.4973671924278036,10721480.63,11361442.79,11450383.77,9840569.017916666,0,0,0,0,0,0,0
2026-03-01 21:00:00,108.35261,10075854.85,10279396.53,12287035275.0,183079306.07125,0,-0.1915322580645161,122.28635,117.00361,119.45984416666666,118.61981380952379,130.39189633333334,21,-0.7071067811865477,0.7071067811865474,6,-0.7818314824680299,0.6234898018587334,60,0.8584015232918917,0.512978386299228,-53915637.5,-151852837.5,12416125785.044643,12671823449.20139,0.9696343485415558,-12172438.849999994,-30455709.60250002,242052790.043497,229490808.3025104,0.7977631323251881,2.865691887359617,5.699863035370295,8.0,0.5027650435767788,10291303.01,10912277.13,10939122.48,9814695.09625,0,0,0,0,0,0,0
2026-03-01 22:00:00,107.63261,9615964.21,9828502.32,12284837750.0,182582822.85416663,0,-0.1911290322580645,122.28535,116.50361,119.49822208333332,118.65184011904763,130.2067160277778,22,-0.5000000000000004,0.8660254037844384,6,-0.7818314824680299,0.6234898018587334,60,0.8584015232918917,0.512978386299228,-53523958.33333397,-153929325.0,12415209539.0625,12670958932.69676,0.9695270748845698,-12086824.969999999,-30896493.491666704,241868882.34414187,229483013.03704977,0.7956267456915813,2.8982875638873957,5.705282909514041,8.0,0.5080006740865131,9845970.25,10390824.12,10277496.58,9791992.851666667,0,0,0,0,0,0,0
2026-03-01 23:00:00,107.63261,9067395.5,9268478.27,12282640225.0,182086339.6370833,0,-0.1907258064516129,122.28435,116.50361,119.62984999999999,118.69695571428572,130.03941905555556,23,-0.25881904510252157,0.9659258262890681,6,-0.7818314824680299,0.6234898018587334,60,0.8584015232918917,0.512978386299228,-53132279.16666603,-156005812.5,12414280933.035715,12670093103.88889,0.9694198869959395,-12001211.090000033,-31337277.380833387,241682350.9311607,229476772.92357638,0.7934848364706797,2.951854462334547,5.703852749010856,8.0,0.5175194017493611,9301676.33,9800253.12,9631830.13,9771218.81875,0,0,0,0,0,0,0
2026-03-02 00:00:00,101.84342,8636570.59,8805878.74,12280442700.0,181589856.42,0,-0.1903225806451613,103.13361,106.00391,118.8319025,118.62985452380951,130.03215559722224,0,0.0,1.0,0,0.0,1.0,61,0.8670985522812081,0.4981366284784055,-52740600.0,-158082300.0,12413339966.964285,12669225962.777779,0.9693127848599413,-11915597.210000008,-31778061.27000001,241493195.80455357,229472087.96209025,0.7913374477596569,4.4242784153370875,5.8197586088048325,21.64873999999999,0.7602168255988325,8887963.69,9305151.22,9125040.21,9753836.005,0,0,0,0,0,0,0
2026-03-02 01:00:00,101.84342,8350510.57,8512082.43,12277364508.333334,181567196.54916665,0,-0.1899193548387097,103.13361,111.64991,118.26320499999999,118.56812833333333,130.01914769444443,1,0.25881904510252074,0.9659258262890683,0,0.0,1.0,61,0.8670985522812081,0.4981366284784055,-53621266.66666603,-160915475.0,12412382136.755953,12668354388.321758,0.969136490186219,-11441773.86374998,-33881968.47875002,241291517.42075148,229464204.53048494,0.7912658835859733,5.456074500903878,5.928433811332292,21.64873999999999,0.9203230860863298,8568003.79,8958049.71,8817848.79,9737584.091666667,0,0,0,0,0,0,0
2026-03-02 02:00:00,101.84342,8177212.59,8320633.4,12274286316.666666,181544536.6783333,0,-0.189516129032258,103.13361,106.00391,117.6945075,118.50102714285714,130.00613979166667,2,0.49999999999999994,0.8660254037844387,0,0.0,1.0,61,0.8670985522812081,0.4981366284784055,-54501933.33333397,-163748650.0,12411407442.410715,12667478380.520834,0.9689605103681257,-10967950.517500013,-35985875.6875,241077315.77975446,229453122.6287604,0.7912053433766516,6.268038092206588,6.038591646224901,21.64873999999999,1.0379966819125992,8268145.95,8722506.72,8573178.63,9718652.392916666,0,0,0,0,0,0,0
2026-03-02 03:00:00,101.84342,8080753.34,8202880.25,12271208125.0,181521876.8075,0,-0.1891129032258064,103.13361,106.00391,117.12581,118.43930095238093,129.99111244444447,3,0.7071067811865476,0.7071067811865476,0,0.0,1.0,61,0.8670985522812081,0.4981366284784055,-55382600.0,-166581825.0,12410415883.928572,12666597939.375,0.9687848452862072,-10494127.171249986,-38089782.89625001,240850590.8815625,229438842.25691667,0.7911558261972003,6.937787629658003,6.142094673620952,21.64873999999999,1.129547491258054,8062164.39,8587673.86,8444086.37,9696756.165,0,0,0,0,0,0,0
2026-03-02 04:00:00,104.47142,8328021.13,8421550.79,12268129933.333334,181499216.93666667,0,-0.1887096774193548,103.13361,111.50691,116.33182083333332,118.37757476190475,129.9760850972222,4,0.8660254037844386,0.5000000000000001,0,0.0,1.0,61,0.8670985522812081,0.4981366284784055,-56263266.66666603,-169415000.0,12409407461.309525,12665713064.884258,0.9686094948216358,-10020303.824999958,-40193690.10499996,240611342.72617558,229421363.4149537,0.791117332034984,7.407601289429602,6.243268295868478,21.64873999999999,1.186494146716653,7966667.89,8549558.09,8659798.84,9672469.073333334,0,0,0,0,0,0,0
